nds,de,title
De Hüüs sünd groot.,Die Häuser sind groß.,
"Ehr Hoor wees so lange, datt datt bet an ’e Eerd recken deed.","Ihr Haar war so lang, dass es bis auf den Boden reichte.",
"Pass op, wo du henpeddst!","Pass auf, wo du hintrittst!",
Ik stüür em na Kalifornien.,Ich schicke ihn nach Kalifornien.,
Vüör veele Johren stünn huer en Slott.,Vor vielen Jahren stand hier ein Schloss.,
Ik bün en Linkspoot.,Ich bin ein Linkshänder.,
Du dröffst hier in elk Spraak schrieven. Bi Tatoeba sünd all Spraken glieks.,Du darfst hier in jeder Sprache schreiben. Bei Tatoeba sind alle Sprachen gleich.,
Bi ’t Holt steiht en enkelt Huus.,Am Wald steht ein einzelnes Haus.,
Ik heff den Film twee Maal von vörn bet achtern sehn.,Ich habe den Film zweimal von vorne bis hinten gesehen.,
Opa utsnackt heel traag.,Opa spricht sehr langsam.,
Thai is en intressante Spraak.,Thai ist eine interessante Sprache.,
Ik heff Jane de Hand gäven.,Ich habe Jane die Hand gegeben.,
Miene Huus liggt in de Neeg von ’n Bahnhoff.,Mein Haus liegt in der Nähe eines Bahnhofs.,
Woveel Hööd hest du?,Wie viel Hüte hast du?,
He is temlich krank.,Er ist sehr krank.,
"Dat is mien Droom, na Japan to gahn.","Es ist mein Traum, nach Japan zu gehen.",
"Ik heff di seggt, datt se blond is.","Ich habe dir gesagt, dass sie blond ist.",
Se het em in Boston besökt.,Sie hat ihn in Boston besucht.,
Se farvt ehr Hoor al Johren swarte.,Sie färbt all die Jahre schon ihr Haar schwarz.,
"Ik heff al lang keen Book mehr leest, un dor schaam ik mi to.",Ich habe lange Zeit kein Buch gelesen und dafür schäme ich mich.,
Se deed mi tosmüüstern.,Sie lächelte mir zu.,
Carol kiekt faken Horrorfilme.,Carol schaut oft Horrorfilme an.,
He bröök den Weltrekord.,Er brach den Weltrekord.,
De Weg na ’t Dörp is temlich hubbelig.,Der Weg zum Dorf ist sehr holprig.,
De Weg na ’t Dörp is temlich hubbelig.,Die Straße zum Dorf ist sehr holprig.,
Miene Fööt doon weh.,Meine Füße tun weh.,
"Wenn wi Tom ich hölpt, starven he.","Wenn wir Tom nicht helfen, stirbt er.",
In ’n Winter warrn dat gau düüster.,Im Winter wird es schnell dunkel.,
He hätt mi anlagen.,Er hat mich angelogen.,
Is Tom noch in sien Kamer?,Ist Tom noch in seinem Zimmer?,
De dulle Regent hett uns von ’t Angeln afhollen.,Der starke Regen hat uns vom Angeln abgehalten.,
Echte Fründschop is mehr weerd as Geld.,Echte Freundschaft ist mehr wert als Geld.,
Ik heff Kees-Tortillas to ’n Freuhstück äten.,Ich aß Käse-Tortillas zum Frühstück.,
Pass op dien Foot op.,Pass auf deinen Fuß auf.,
Se is mit de Eier utneiht.,Sie rannte mit den Eiern weg.,
He nehm en Book ut datt Bökerboord.,Er nahm ein Buch aus dem Bücherregal.,
Tom seeg dörch datt lütten Kökenfinster.,Tom sah durch das kleine Küchenfenster.,
De Priesen hangt von Anbott un Nafraag af.,Die Preise hängen von Angebot und Nachfrage ab.,
"Jim keem liesen in de Kamer, dat he dat Baby nich opwaken deed.","Jim kam leise in das Zimmer, sodass er das Baby nicht aufweckte.",
Dat wees keen Afsicht!,Das war keine Absicht!,
"Ik heff en Dochter, de mit Tom to School geit.","Ich habe eine Tochter, die mit Tom zur Schule geht.",
Ik mag geern Sushi.,Ich mag gern Sushi.,
Wo kanns du sowat seggen?,Wie kannst du so etwas sagen?,
Portugal is en Utwannererland.,Portugal ist ein Auswanderungsland.,
Se sünd so groot as mien Süster.,Sie sind so groß wie meine Schwester.,
Ik wull nech arbeden.,Ich will nicht arbeiten.,
"Löwen, de slaapt, schall ’n nich wecken.",Schlafende Löwen soll man nicht wecken.,
He kinnt nüms von uns.,Er kennt keinen von uns.,
Daniel süht ut as en Uiguur.,Daniel sieht aus wie ein Uigure.,
He reist geern alleen.,Er reist gern allein.,
"Datt is nicht datt, wo ik na söök.","Das ist nicht das, wonach ich suche.",
Wat sünd dat för Lüüd?,Was sind das für Leute?,
Dat deit mi würklich leeg!,Das tut mir wirklich leid!,
Woneem in de Törkie wahns du?,Wo wohnst du in der Türkei?,
Wi künnt hier veel lehren.,Wir können hier viel lernen.,
Aoms gao ik üm tain in't Bedd.,Abends gehe ich um zehn ins Bett.,
Kunn jeden Momang Krieg utbreken.,Jederzeit könnte Krieg ausbrechen.,
Ehr gefallt elk Weder.,Ihr gefällt jedes Wetter.,
"Kopp hoog, ans fallt de lüttje Kroon dal!","Kopf hoch, sonst fällt doch das Krönchen herrunter!",
’Keen schall ik wählen?,Wen soll ich wählen?,
Du schullst na en Dokter gohn.,Du solltest einen Arzt aufsuchen.,
Wo faken ittst du Fisch?,Wie oft isst du Fisch?,
De Boom deed ophollen to wassen.,Der Baum hörte auf zu wachsen.,
"Ik heff gornich wusst, dat du ook Japaansch lehrst.","Ich habe gar nicht gewusst, dass du auch Japanisch lernst.",
"Veele Lüdd denkt, datt ik en bäten roor in ’n Kopp bün.","Viele Menschen denken, dass ich ein bisschen komisch im Kopf bin.",
Dat is en Boom.,Das ist ein Baum.,
Klabaster un Gizmo sünd Katten.,Klabaster und Gizmo sind Katzen.,
Se müss ehr Süster versorgen.,Sie musste ihre Schwester versorgen.,
"He is rieke, aver ich tofreden.","Er ist reich, aber nicht glücklich.",
"Dit Nakieksel is fein, üm Saken natokieken.","Dieses Lexikon ist praktisch, um Dinge nachzuschlagen.",
Veronica! Datt Vörjohr is dor! Miene Spoors wasst!,Veronica! Der Lenz ist da! Mein Spargel wächst!,
Wo sünd de to goods?,Wozu sind die gut?,
Jeder Kaapmann lowet sien Ware.,Jeder Händler lobt seine Ware.,
Jeder Kaapmann lowet sien Ware.,Jeder Kaufmann lobt seine Ware.,
Osaka hett mehr Inwahners as Kobe.,Osaka hat mehr Einwohner als Kobe.,
Do dat!,Mache es!,
Ik deed de grote Koort op ’n Disch utspreden.,Ich breitete die große Karte auf dem Tisch aus.,
En Tass Kaffe köst een Kroon.,Eine Tasse Kaffee kostet eine Krone.,
"Tom wull weten, waorüm du datt doot hess.","Tom möchte wissen, warum du das getan hast.",
Wi hört Musik.,Wir hören Musik.,
Krinten sünd opdröögt Wiendruven.,Rosinen sind getrocknete Weintrauben.,
Krinten sünd opdröögt Wiendruven.,Rosinen sind getrocknete Trauben.,
"Du musst Melk drinkt, datt du goods wassen kunnst.","Du musst Milch trinken, damit du gut wachsen kannst.",
Godd hett de Welt schapen.,Gott hat die Welt erschaffen.,
God het de Welt schapen.,Gott schuf die Welt.,
Ik snack en bäten Sloveensch.,Ich spreche ein bisschen Slowenisch.,
Ik kenn keen von de dree Keerls.,Ich kenne keinen der drei Männer.,
Smöökst du?,Rauchst du?,
"De Lüdd seggt, he hätt Glück hatt! Datt he ook arbeiden het, dor utsnackt keeneen von.","Die Leute sagen, dass er Glück gehabt hat! Dass er auch gearbeitet hat, davon spricht keiner.",
"Datt harrst du ook sülvens marken kunnt, datt datt en Dummeree is!","Das hättest du auch selber merken können, dass das eine Dummheit ist!",
Se sünd jüst ankamen.,Sie sind gerade angekommen.,
Ik kann Esperanto küern as en Inborener.,Ich kann Esperanto sprechen wie ein Muttersprachler.,
Tom is al siet dree Johren in Australien.,Tom ist schon seit drei Jahren in Australien.,
Tom kunn den Schrecken von ’n Krieg nienich vergeten.,Tom könnte nie die Schrecken des Krieges vergessen.,
De Murais sünd teihn Johr verheiraadt.,Die Murais sind seit zehn Jahren verheiratet.,
Ik heff en Tuut kofft.,Ich habe eine Tüte gekauft.,
Ik denk an miene Kinners.,Ich denke an meine Kinder.,
Se hebbt den Mann as Gefohr för de Sellschop ansehn.,Sie haben den Mann als Gefahr für die Gesellschaft angesehen.,
Se hätt twe Pund Botter kofft.,Sie hat zwei Pfund Butter gekauft.,
"Datt is mi eendoont, wenn ’t sniet.","Es ist mir egal, wenn es schneit.",
Sünd datt Tom siene Beuker?,Sind das Toms Bücher?,
Ik heff en beten Wicht verloren.,Ich habe etwas an Gewicht verloren.,
Vonmorgen het datt en Eerdbevens gäven.,Heute Morgen hat es ein Erdbeben gegeben.,
De Wind weiht dulle.,Es windet stark.,
"Segg mi, wat du in Shounan maakt hest.","Sag mir, was du in Shōnan gemacht hast!",
Dat Eten sütt ja temlich lecker ut.,Das Essen sieht ja sehr lecker aus.,
Versöök dat noch eens wedder.,Versuche es noch einmal.,
He hätt nix verkehrt maakt.,Er hat keinen Fehler gemacht.,
He het nix verkehrt maakt.,Er hat nichts verkehrt gemacht.,
Lat uns för en poor Minuten verpuusten.,Lasst uns ein paar Minuten verpusten.,
Lat uns för en poor Minuten verpuusten.,Lasst uns für ein paar Minuten verschnaufen.,
Tom hett di nich so leef as ik.,Tom liebt dich nicht so sehr wie ich.,
Disse Bruuk is al lang utstorven.,Diese Sitte ist schon lange ausgestorben.,
Ik bün en Fründ von Robert.,Ich bin ein Freund von Robert.,
Mary is sööt. Jane ook.,Mary ist süß. Jane ebenfalls.,
Ik seuk mien Süstern.,Ich suche meine Schwestern.,
Tom is nich beropen.,Tom ist nicht berühmt.,
Spreekt Se platt?,Sprechen Sie Plattdeutsch?,
Ik kenn siene Musiek.,Ich bin mit seiner Musik vertraut.,
He hett sik mit dat Mest in ’n Finger sneden.,Er schnitt sich mit dem Messer in den Finger.,
Datt Kind deed sick rachter en grotten Boom versteken.,Das Kind versteckte sich hinter einem großen Baum.,
Wahnst du huer?,Wohnst du hier?,
"Datt wees jüst so, as ik datt dach harrn.","Es war genauso, wie ich gedacht hatte.",
Ai hett sik to mi sett.,Ai setzte sich zu mir.,
"He lett rieke, is datt aver nech.","Er wirkt reich, ist es aber nicht.",
"Wonæm büs du wesen? Ik versöök al den ganzen Dag, di to kregen.","Wo bist du gewesen? Ich versuche schon den ganzen Tag, dich zu erreichen.",
Kunnst du nicht toslapen?,Kannst du nicht schlafen?,
Dat is nich mien Schuld!,Es ist nicht meine Schuld!,
"Datt spiet mi, datt ik di vonavend ich dropen kan.","Ich bedaure, dass ich dich heute Abend nicht treffen kann.",
Ik gah jümmer to Foot na School.,Ich gehe immer zu Fuß zur Schule.,
Miene Grootvader is vüör drie Joht dootbleven.,Mein Opa ist vor drei Jahren gestorben.,
Miene Grootvader is vüör drie Joht dootbleven.,Mein Großvater starb vor drei Jahren.,
Mien Grootvader is vör dree Johr doodbleven.,Mein Großvater ist vor drei Jahren gestorben.,
Ik bün al twee Stünnen hier.,Ich bin schon zwei Stunden hier.,
Se deed an nix Leegs denken.,Sie dachte an nichts Böses.,
"De Tog wees so proppenvull, dat ik de ganze Fohrt stahn müss.","Der Zug war dermaßen überfüllt, dass ich während der gesamten Fahrt stehen musste.",
"De Tog wees so proppenvull, datt ik de ganze Föhrt staht müss.","Der Zug war so brechend voll, dass ich die ganze Fahrt über stehen musste.",
En bannig goden Idee!,Eine sehr gute Idee!,
De Freeheidsstatue is in New York.,Die Freiheitsstatue befindet sich in New York.,
Kann ik mi disse CD utborgen?,Könnte ich mir diese CD ausborgen?,
Af un to is en Zigarr eenfach en Zigarr.,Ab und zu ist eine Zigarre einfach eine Zigarre.,
Af un to is en Zigarr eenfach en Zigarr.,Manchmal ist eine Zigarre einfach eine Zigarre.,
Hest du veel to doon?,Hast du viel zu tun?,
Datt kan nech wohr wäsen.,Das kann nicht wahr sein.,
Tom wœr nich trurig.,Tom war nicht traurig.,
Ik heff överhœft keen Frünnen.,Ich habe überhaupt keine Freunde.,
He versteiht sik allerbest mit all sien Klassenkameraden.,Er versteht sich blendend mit allen Klassenkameraden.,
Düsse Scheer sniddt goods.,Diese Schere schneidet gut.,
Ik heff jüst Sushi äten un Wetenbeer drunken.,Ich hab grade Sushi gegessen und Weizen getrunken.,
He fecht gegen Windmöhlens.,Er kämpft gegen Windmühlen.,
Is dat Kleed nich en beten kort?,Ist das Kleid nicht ein bisschen kurz?,
Elk Nacht lüüster ik Radio.,Jede Nacht höre ich Radio.,
Ik miss di.,Ich vermisse dich.,
Maakt man gau! Dat Kunzert fangt an.,Beeilt euch! Das Konzert fängt an.,
"He deed Mary verkloren, worüm as he to laat to ehr Geboortsdagsfier kamen is.","Er erklärte Mary, warum er zu spät zu ihrer Geburtstagsfeier kam.",
Mak di datt bequeem!,Mach's dir bequem!,
Wullt du di nicht dalsetten?,Willst du dich nicht setzen?,
Dit Wöörbook hett nich mehr as 20.000 Wöör.,Das Wörterbuch hat nicht mehr als 20.000 Wörter.,
Stell di nich so an!,Stell dich nicht so an!,
De Pries is dubbelt so hoog as vör een Johr.,Der Preis ist doppelt so hoch wie vor einem Jahr.,
"Do so, as wenn du ik weerst.",Tue so als wärst du ich.,
’Keen geiht dat üm?,Um wen geht es?,
"Disse Film is för Vulwassene, ich för Kinners.","Dieser Film ist für Erwachsene, nicht für Kinder.",
Ik reis geern.,Ich reise gerne.,
Ik reis geern.,Ich verreise gerne.,
Ik bruuk en beten Sucker.,Ich brauche etwas Zucker.,
Tom hätt giern huer arbeden.,Tom arbeitete gerne hier.,
He driggt Hanschen.,Er trägt Handschuhe.,
Ik heff meist allen verstahn.,Ich habe fast alles verstanden!,
Bleev doch noch en beten.,Bleib doch noch ein bisschen.,
He wees en Dichter un en Diplomaat.,Er war ein Dichter und ein Diplomat.,
Ik heff em von uns School vertellt.,Ich erzählte ihm von unserer Schule.,
Toeerst mööt wi den Kock rutsmieten.,Zuerst müssen wir den Koch entlassen.,
Segg mi dat nich!,Sage es mir nicht!,
Segg mi datt nech!,Sage mir das nicht!,
He is in ’n Pohl sprungen.,Er ist in den Teich gesprungen.,
Finnsche Texten seht ut as wenn bi ’t Schrievt datt Tastenboord inklemmt het.,"Finnische Texte sehen aus, als habe beim Schreiben die Tastatur geklemmt.",
Disse Bloom rückt good.,Diese Blume riecht gut.,
Ik mag de okzitaansche Spraak.,Ich mag die okzitanische Sprache.,
"Du schusst di good marken, wat ik di seggt heff.","Du solltest dir gut einprägen, was ich dir gesagt habe.",
"Ik weet noch, wat du seggt gest.","Ich weiß noch, was du gesagt hast.",
Ik eet en Appel.,Ich esse einen Apfel.,
Pinguins sünd snaaksche Vagels.,Pinguine sind eigentümliche Vögel.,
Ik unn keene Bäten mihr äten.,Ich konnte keinen Bissen mehr essen.,
Ik heff allen ünner Kuntrull.,Ich habe alles unter Kontrolle.,
"Ik heff em von uns Plaans vertellt, man datt lett, as wenn he keene Intress hätt.","Ich erzählte ihm von unseren Plänen, aber er schien nicht interessiert zu sein.",
Kinners eet mehrstendeels gern Ies.,Die meisten Kinder essen gerne Eiscreme.,
"John is datt wennt, bet Middernacht optoblieven.",John ist gewohnt bis Mitternacht aufzubleiben.,
Japan is nich mehr as vör teihn Johr.,Japan ist nicht mehr wie vor zehn Jahren.,
He is von ’n Boom dalfullen.,Er ist vom Baum heruntergefallen.,
Wat maakst du denn hier?,Was machst du denn hier?,
Wi hebbt hier al Stünnen töövt.,Wir haben nun hier stundenlang gewartet.,
Kaam op.,Stehe auf.,
Katten köönt Woter nicht lieden.,Katzen hassen Wasser.,
Tom is en gode Kock.,Tom ist ein guter Koch.,
"Ik fraag mi, waorüm de Eier in ’t Dutz verköfft warrn.","Ich frage mich, wieso Eier im Dutzend verkauft werden.",
He keem mi nachtens beseuken.,Er kam mich nachts besuchen.,
Du magst keen Musik.,Du magst keine Musik.,
Een Kroon un föfftig Öre.,Eine Krone und fünfzig Öre.,
Worüm sünd ji to Huus?,Warum seid ihr zu Hause?,
He füll an ’e Eer.,Er fiel auf den Boden.,
De Müüs hebbt von datt Broot äten.,Die Mäuse haben von dem Brot gegessen.,
Ik krigg miene Breevkassen ich up.,Ich kann meinen Briefkasten nicht öffnen.,
"Würklich tohuus is een dor, wo een sick överall kleien kan, wenn een datt jöökt.","Wirklich zu Hause ist man dort, wo man sich überall kratzen kann, wenn es einen juckt.",
"Dat is en grote Ihr, Se kennentolehren!","Es ist eine große Ehre, Sie kennenzulernen!",
Ik heff dat Geld nich von em trüggkregen.,Ich bekam das Geld von ihm zurück.,
Deit dat weh?,Tut das weh?,
"Ik denk, dat se mehrstendeels na Huus gahn sünd.","Ich denke, dass die meisten nach Hause gegangen sind.",
Miene Mudder het mi de Hoor to kott sneden.,Meine Mutter hat mir die Haare zu kurz geschnitten.,
Dat is glieks achter de Eck.,Es ist direkt um die Ecke.,
Se hätt Blomen in ehr Hand.,Sie hat Blumen in ihrer Hand.,
Ik bruuk en Tasch. Kunnst du mi een utlehnen?,Ich brauche eine Tasche. Kannst du mir eine leihen?,
He is de oltste.,Er ist der älteste.,
Wo hoog kunnst du springt?,Wie hoch kannst du springen?,
Lex twe is tæmlich licht.,Lektion zwei ist sehr leicht.,
Kunnen de Neanderdalers snacken?,Konnten die Neandertaler sprechen?,
Maak de Ogen apen.,Öffne die Augen.,
Jo. Nee. Villicht. Ik weet nech.,Ja. Nein. Vielleicht. Ich weiß nicht.,
Ik wünsch di datt Best.,Ich wünsche dir alles Gute.,
Sluut diene Ogen drie Minuten lange.,Schließe deine Augen drei Minuten lang.,
Ik bün weg.,Ich bin weg.,
Tom het se noch maol küßt.,Tom hat sie noch mal geküsst.,
Jean is in fiev Minuten dor.,Jean ist in fünf Minuten da.,
Böst du em nudetied ees in ’e Mööt komen?,Hast du ihn neulich getroffen?,
Den Esel kan ’n an de Ohren kennen.,Man kennt den Esel an den Ohren.,
He is en kloken Jund.,Er ist ein kluger Junge.,
De Füürwehrlüüd hebbt datt Füer utdaan.,Die Feuerwehr hat das Feuer gelöscht.,
De Hund lööp na de Katte.,Der Hund lief zur Katze.,
Vör twee Johr bün ik na China gahn.,Vor zwei Jahren bin ich nach China gegangen.,
Ik bün Professer.,Ich bin Professor.,
Datt Kind kriegt nu Tähn.,Das Kind bekommt jetzt Zähne.,
Dat Kind kriggt nu Tähn.,Das Kind zahnt nun.,
Fraag en Schandarm!,Frag einen Polizisten!,
Ik kunn nich toslapen.,Ich konnte nicht schlafen.,
Dit Gesett schall uns uns Grundrechten roven.,Dieses Gesetz wird uns unsere Grundrechte rauben.,
Ik wahn in Danzig.,Ich wohne in Danzig.,
Hebbt Tom un Ria Franzöösch snackt?,Haben Tom und Maria Französisch gesprochen?,
Ik heff datt Geld nien kriegen.,Ich habe das Geld nie bekommen.,
Alle beid siene Grootvaders sünd dood.,Seine beiden Großväter sind tot.,
Ehr Süster wahnt in Schottland.,Ihre Schwester wohnt in Schottland.,
Judy deed em ansmüüstern.,Judy lächelte mich an.,
Wat maakt joon öllere Süster jüst?,Was macht eure ältere Schwester gerade?,
Se hätt mi wat to äten gäven.,Sie gab mir etwas zu essen.,
Ik heff dat dat eerste Maal maakt.,Ich habe es zum ersten Mal gemacht.,
"Bedankt, nu verstah ik.","Danke, ich verstehe jetzt.",
De Lööw deed sien groot Muul apen un brüll.,Der Löwe öffnete sein riesiges Maul und brüllte.,
Mit 18 Johr harrn se al ehr eerst Kind.,Mit 18 Jahren hatte sie schon ihr erstes Kind.,
"Dat wees en Krieg, den egens keen Nation will.","Es war ein Krieg, den keine Nation wirklich wollte.",
Wat hest du Paula seggt?,Was hast du Paula gesagt?,
Ik snack von miene Fründ.,Ich spreche von meinem Freund.,
"Wat den een siene Uul, is den anneren siene Nachtigall.","Was dem einen seine Eule ist, ist dem anderen seine Nachtigall.",
Datt is veele!,Das ist viel!,
"Wenn de Daag anfangt an to längen, anfangt de Winter an to strengen.","Wenn die Tage anfangen, länger zu werden, fängt der Winter an, strenger zu werden.",
Ik slaap naakt.,Ich schlafe nackt.,
"En Vagel singt, as em de Snavel wussen is.","Ein Vogel singt, wie ihm der Schnabel gewachsen ist.",
Wi sünd Arabers.,Wir sind Araber.,
Katten köönt in ’n Düüstern sehn.,Katzen können im Dunkeln sehen.,
Tatoeba is en fre’e Software.,Tatoeba ist eine freie Software.,
He is twee Maal in England wesen.,Er ist zweimal in England gewesen.,
Tom het jüst siene Kamern oprüümt.,Tom hat gerade sein Zimmer aufgeräumt.,
De Sahara is en grote Wööst.,Die Sahara ist eine große Wüste.,
Du stinkst na Schiet.,Du stinkst nach Scheiße.,
De Daag warrn bilütten körter.,Die Tage werden allmählich kürzer.,
"Bedüdt datt, datt du nicht kümmst?","Bedeutet das, dass du nicht kommen wirst?",
Snackst du Düütsch?,Sprichst du Deutsch?,
De Deckel lett sick ich afnehmen.,Der Deckel lässt sich nicht abnehmen.,
Ik kan di opstunns nix vertellen.,Ich kann dir momentan nichts erzählen.,
He lööp fief Mielen.,Er lief fünf Meilen.,
Se verwachten en Kind.,Sie erwartet ein Kind.,
Wo smucket dien Süster is!,Wie schön deine Schwester ist!,
Ik heff mi verköhlt.,Ich habe mich erkältet.,
Broot warrn von Weten maakt.,Brot wird aus Weizen hergestellt.,
Tunge! Dat harrn ik nich dach.,Nanu! Das hätte ich nicht gedacht.,
He is de öllst Söhn.,Er ist der älteste Sohn.,
"Datt is unfründlich, annern Lüdd antoglupen.","Es ist unhöflich, andere Leute anzustarren.",
Datt süht ut as en Ei.,Das sieht wie ein Ei aus.,
Dröff ik noch en beten Melk hebben?,Darf ich noch ein bisschen Milch haben?,
Ik höör ehr nich.,Ich höre sie nicht.,
Ik drück jo de Dumen.,Ich werde euch die Daumen drücken.,
"Mi dücht, Frankforters hebbt veel mehr Smack as Wieners.","Ich finde, Frankfurter haben viel mehr Geschmack als Wiener.",
Vör dat fangt to regent fleegt de Swülken siet.,Vor dem Regen fliegen die Schwalben tief.,
Aver de Buer wees fründlig to em un bröch em en Barg bi.,Aber der Bauer war nett zu ihm und brachte ihm eine Menge bei.,
"Du schallst di dor gau an wennen, op ’n Lannen to läven.","Du wirst dich schnell daran gewöhnen, auf dem Land zu leben.",
He harrn Intress an mi.,Er hatte Interesse an mir.,
Se hätt nien mit em danst.,Sie hat nie mit ihm getanzt.,
Woneem schullt wi den Affall loostowarrn?,Wo sollten wir den Abfall entsorgen?,
Frankriek wees in ’n Krigg mit Rußland.,Frankreich war im Krieg mit Russland.,
Dor steiht en Glas op ’n Disch.,Es steht ein Glas auf dem Tisch.,
As Kind harrn ik ook en Modelliesenbahn.,Als Kind hatte ich auch eine Modelleisenbahn.,
Tom is vun en Peerd träden worrn.,Tom ist von einem Pferd getreten worden.,
Ik heff mien Süster en Popp geven.,Ich habe meiner Schwester eine Puppe gegeben.,
Du schußt lever toslapen.,Du solltest lieber schlafen.,
Tom und Rias wohnt nu in Boston.,Tom und Maria wohnen jetzt in Boston.,
Poggen sünd vör Snaken bang.,Frösche haben Angst vor Schlangen.,
Poggen sünd bang vör Snaken.,Frösche haben Angst vor Schlangen.,
Datt ganze Land wees tosneet.,Das ganze Land war eingeschneit.,
Ik begriep datt nech.,Ich verstehe das nicht.,
Ik begriep dat nich.,Ich begreife das nicht.,
’Keen höört den Püüster to?,Wem gehört das Gewehr?,
Ik bün nich ut Boston.,Ich komme nicht aus Boston.,
Wat hess du för diene Fründ kofft?,Was hast du für deinen Freund gekauft?,
Verbaden Frücht smeckt opbest.,Verbotene Früchte schmecken am besten.,
Michael Jackson is dootbleven.,Michael Jackson ist gestorben.,
"Se het mi seggt, datt se em leif hätt.","Sie sagte mir, sie liebe ihn.",
He hett minner Brood.,Er hat weniger Brot.,
Bleev nich to lang in ’e Sünn.,Bleib nicht zu lange in der Sonne.,
"Oh, dat deit mi leeg.","Oh, tut mir leid.",
Oh! Datt deit mi leeg.,Oh! Das tut mir leid.,
He keem Klock söss trügg.,Er kam um sechs Uhr zurück.,
Ik bün na miene Kinnertied nienich wedder krank wäsen.,Nach meinen Kinderjahren bin ich nie wieder krank gewesen.,
Mien Nees löppt jümmer.,Meine Nase läuft ununterbrochen.,
Ik schriev faken Bidrääg för Wikipedia.,Ich schreibe sehr oft Beiträge für Wikipedia.,
"Mi dücht, du wettst, wat ik meen.","Ich glaube, du weißt, was ich meine.",
"Gest du wat, wat du mi seggen wullt?","Hast du etwas, was du mir sagen möchtest?",
Wat för en Krankheit heff ik?,Was für eine Krankheit habe ich?,
"Mien Naver is, kort seggt, neeschierig.","Mein Nachbar ist, kurz gesagt, neugierig.",
Godd is uns Kracht.,Gott ist unsere Stärke.,
"Ik bün fröh, soveel goden Frünnen to hebben.","Ich bin glücklich, so viele gute Freunde zu haben.",
Wi schullt nu beters na Huus gohn.,Wir sollten jetzt besser nach Hause gehen.,
He güng twe Stunnen wieder.,Er ging zwei Stunden weiter.,
Tux is en antarktischen Vagel.,Tux ist ein antarktischer Vogel.,
Opminnst unn ik di sehen.,Wenigstens konnte ich dich sehen.,
Wannehr kümmst du na Huus?,Wann kommst du heim?,
Wannehr kümmst du na Huus?,Wann kommst du nach Hause?,
He harrn en swoor Leven.,Er hatte ein schweres Leben.,
De sünd in Berlin.,Die sind in Berlin.,
"Sodraad se mi sehn hett, füng se dat Wenen an.","Sobald sie mich sah, fing sie zu weinen an.",
He deed mit slaten Ogen to de Musik lüüstern.,Er hörte der Musik mit geschlossenen Augen zu.,
De Straat is slibberig.,Die Straße ist glitschig.,
Ik heff mien E-Mail-Adress vergeten.,Ich habe meine E-Mail-Adresse vergessen.,
Ik heff miene E-Mail-Adress vergäten.,Ich habe meine E-Postadresse vergessen.,
Wannehr geihst du na Huus?,Wann gehst du nach Haus?,
Krieg ik en Narv?,Werde ich eine Narbe bekommen?,
Is dor wat Water in ’e Kann?,Ist etwas Wasser in der Kanne?,
En Platt hebben het opminnst een Vördeel - een sport veele Shampoo.,"Eine Glatze zu haben, hat wenigstens einen Vorteil - man spart viel Shampoo.",
Wi dröffen nicht noch mal in ’n Krigg treckt.,Wir dürfen nicht noch einmal in den Krieg ziehen.,
Nix is as datt lett.,"Nichts ist so, wie es scheint.",
De Vagels flögen na ’n Süden.,Die Vögel flogen in den Süden.,
He harrn en hellblauen Slips üm.,Er trug eine hellblaue Krawatte.,
Datt geiht mi nix an.,Das geht mich nicht an.,
"Mi dücht, datt datt allen en Fraag von Geld is.","Ich glaube, dass alles eine Frage des Geldes ist.",
Se süht alltied bleek ut.,Sie sieht immer bleich aus.,
Woans hess du Esperanto lihrt?,Wie hast du Esperanto gelernt?,
Jümmerto wedder wat frisch!,Immer wieder etwas frisch!,
"Se will datt partu, datt he to de Party inlaadt warrn.","Sie bestand darauf, dass er zur Party eingeladen werden sollte.",
Wat för ’n Dokter behannelt di?,Welcher Doktor behandelt dich?,
An ’n Fujiyama bleiht keen Edelweiß.,Am Fuji blüht kein Edelweiß.,
Dat Hotel is dor neddern.,Das Hotel ist dort unten.,
He angelt giern.,Er angelt gern.,
Se geit faken mit em in ’t Kino.,Sie geht oft mit ihm ins Kino.,
Hamborg liggt an ’e Elv.,Hamburg liegt an der Elbe.,
’N Rogg hebbt se Arme-Lüüd-Koorn nöömt.,Der Roggen wurde Arme-Leute-Getreide genannt.,
All Kinner weren mit jemehr Eten tofreden.,Alle Kinder waren mit ihren Mahlzeiten zufrieden.,
"Ji sünd mööd, nich?","Ihr seid müde, oder?",
He deed man so.,Er tat bloß so.,
Wi wüllt di geern helpen.,Wir möchten dir gerne helfen.,
"Ik weet ich, ’keene he is.","Ich weiß nicht, wer er ist.",
He keem Klock fief trügg.,Er kam um 5 Uhr zurück.,
He keem Klock fiev trügg.,Er kam um fünf Uhr zurück.,
Kan ik datt Licht utdoon?,Kann ich das Licht ausschalten?,
Wannehr schall dat trech wesen?,Wann wird es fertig sein?,
De Diek is temlich deep.,Der Teich ist sehr tief.,
Ik bün goods tomood.,Ich fühle mich wohl.,
Ik heff Tom na 1988 nich mehr sehn.,Ich habe Tom seit 1988 nicht mehr gesehen.,
He is ut en annere Welt.,Er ist von einer anderen Welt.,
’keene glöövt an Gott?,Wer glaubt an Gott?,
