nds,de,title
He hätt mihr as noog Geld.,Er hat mehr als genug Geld.,
Ik bün gägen den Krigg.,Ich bin gegen den Krieg.,
Een Spraak is nienich noog.,Eine Sprache ist nie genug.,
"Hett hätt datt opschreven, datt he datt nicht vergeet.","Er hat das aufgeschrieben, damit er das nicht vergisst.",
De Haavk füng en Muus.,Der Habicht fing eine Maus.,
Waorüm hess du so ’n Dummtüüg seggt?,Warum hast du so etwas Blödes gesagt?,
"Datt is swor, datt Smeuken optogeven.","Es ist schwer, das Rauchen aufzugeben.",
Snack ich mit vullen Mund.,Redet nicht mit vollem Mund.,
Du böst nien tofreden!,Du bist nie zufrieden!,
"Tom weet nech, wo he von utsnackt.","Tom weiß nicht, wovon er spricht.",
Tom is noch nicht in Australien wesen.,Tom war noch nicht in Australien.,
"Ik wüss ich, datt du so goods kaken kunnst.","Ich wusste nicht, dass du so gut kochen kannst.",
He is von ’e Ledder afglippt un het sick doodfullen.,Er ist auf der Leiter abgerutscht und zu Tode gestürzt.,
Tom utsnackt mit sick sülvst.,Tom spricht mit sich selbst.,
Ik bün en gauer Swemmer.,Ich bin ein schneller Schwimmer.,
He süht ut as en gode Junge.,Er sieht wie ein guter Junge aus.,
Wullt du rieke wäsen?,Willst du reich sein?,
Du bünt miene Sünnschien.,Du bist mein Sonnenschein.,
Wi harr n langen Klöönsnack.,Wir hatten ein langes Gespräch.,
Wi harr n langen Klöönsnack.,Wir haben lange gequasselt.,
De Melkstraat is gewaltig groot.,Die Milchstraße ist gewaltig groß.,
Du kunnst mi nech ophollen.,Du kannst mich nicht aufhalten.,
Veele kunservative Amerikaner hebbt em tostimmt.,Viele konservative Amerikaner stimmten ihm zu.,
Se hebbt Jean to ’n Käppen von de Mannschop wählt.,Sie wählten Jean zum Mannschaftskapitän.,
Wi sünd veele jünger as Tom.,Wir sind viel jünger als Tom.,
"Ruten ut, seggt de Glaser.","Die Fensterrauten raus, sagt der Glaser.",
Ik heff mi de Knee schrammt.,Ich habe mir die Knie verschrammt.,
Ik heff mi de Knee schrammt.,Ich habe mir die Knie aufgeschrammt.,
Wi hebbt en groot Pakeet kriegen.,Wir erhielten ein großes Paket.,
Wat köönt wi vonavend äten?,Was könnten wir heute Abend essen?,
Handwark hätt gollen Bodden.,Das Handwerk hat goldenen Boden.,
Datt geit mi nix an.,Das geht mich nichts an.,
Wo is datt Wederk?,Wie ist das Wetter?,
De Regenbagen het söven Klören.,Der Regenbogen hat sieben Farben.,
Ik wull datt sehen.,Ich möchte es sehen.,
Wannehr büs du toletzt bi en Gräffnis wäsen?,Wann warst du zuletzt bei einer Beerdigung?,
Ik unn alle Frogen antern.,Ich konnte alle Fragen beantworten.,
Se harrn sick nicht beielen müsst.,Sie hätten sich nicht beeilen müssen.,
Ik lehr japaanschen.,Ich lerne Japanisch.,
Se kunnen kuum wat sehen.,Sie konnten kaum etwas sehen.,
He hätt miene Klock stahlen.,Er stahl meine Uhr.,
"Datt is eengaal, wannehr du kümmst.","Es ist egal, wann du kommst.",
Schenkt maakt faken mihr Freid as schunken kregen.,Schenken macht oft mehr Freude als beschenkt werden.,
De Temperatur von ’n minschlichen Liev liggt üm de 37 °C.,Die Temperatur des menschlichen Körpers bewegt sich um 37 °C.,
De Jund het den Hund bi ’n Steert packt.,Der Junge packte den Hund am Schwanz.,
’Keene is he?,Wer ist er?,
"Huer liggt datt Book, datt du sochst.","Hier liegt das Buch, das du suchst.",
Miene Hund is witt.,Mein Hund ist weiß.,
Siene Ogen sünd gröttern as siene Maag.,Seine Augen sind größer als sein Magen.,
Do nipp datt wat ik segg.,"Mach genau das, was ich sage.",
De Vogels fleegt hoog an ’n Heven.,Die Vögel fliegen hoch am Himmel.,
"Wat sick gern hätt, datt brüüdt sick.","Was sich liebt, das neckt sich.",
He het brune Ogen.,Er hat braune Augen.,
Du schallst in de School keene Lippenstift drägen.,Du sollst in der Schule keinen Lippenstift tragen.,
"Jo, ik heff datt mit Afsicht maakt.","Ja, ich habe das mit Absicht gemacht.",
"Harrn ik düssen Fleger nohmen, dunn schull ik nu dood wäsen.","Hätte ich dieses Flugzeug genommen, wäre ich nun tot.",
Ik heff ich afnahmen.,Ich habe nicht abgenommen.,
Ik bün Lin.,Ich bin Lin.,
De Kock sitt in ’e Köök.,Der Koch sitzt in der Küche.,
"De datt leste ut de Kan hebben wull, den sleiht datt Lidd op de Nees.","Wer das Letzte aus der Kanne haben will, dem schlägt der Deckel auf die Nase.",
De Dokter hätt ehr op en strenge Diäät sett.,Der Doktor hat sie auf eine strenge Diät gesetzt.,
In ’t Huus spöökt datt.,Im Haus spukt es.,
"Ik hoff, datt Tom nech denkt, datt wi em nicht afkünnt.","Hoffentlich glaubt Tom nicht, dass wir ihn hassen.",
De Arme harr se leif.,Die Armen liebten sie.,
Ik heff dit Fohrtüüg kofft.,Ich habe dieses Fahrzeug gekauft.,
"De Straat is en Iesbahn, weer vörsicht.","Die Straße ist eine Eisbahn, sei vorsichtig.",
Du kaakst würklich goods.,Du kochst wirklich gut.,
De Mann het de lütte Kinners verfehrt.,Der Mann hat die kleinen Kinder erschreckt.,
Wo schöön de Sünnopgang is!,Wie schön die aufgehende Sonne ist!,
"Uns Bargen sünd ich so hoog, joon sünd veele höger.","Unsere Berge sind nicht so sehr hoch, die euren sind viel höher.",
Miene Mest is stuuv worrn.,Mein Messer ist stumpf geworden.,
Moin!,Guten Morgen!,
Moin!,Guten Tag!,
Moin!,Guten Abend!,
Moin!,Ich grüße dich.,
Ik heff jüst Falafel äten.,Ich habe gerade ein Falafel gegessen.,
Ik heff jüst Falafel äten.,Ich habe gerade eine Falafel gegessen.,
Mary hätt datt Smeuken opgeven.,Mary hat das Rauchen aufgegeben.,
Woans süht se ut?,Wonach sieht sie aus?,
Se nehm mien Hand.,Sie nahm meine Hand.,
Ik heff datt Book ümsüs kriegen.,Ich habe das Buch umsonst erhalten.,
Woneem liggt ehr Huus?,Wo befindet sich ihr Haus?,
Datt is miene Süster. Se heet Julia.,Das ist meine Schwester. Sie heißt Julia.,
Ik wis di en poor Fotos.,Ich zeige dir einige Fotos.,
"Wat Tom seggt het, hätt veele Lüdd Hööp gäven.","Was Tom gesagt hat, hat vielen Leuten Hoffnung gegeben.",
Versöökt wi datt noch wedder.,Versuchen wir es noch einmal!,
Miene Koppwehdaag is weg.,Mein Kopfweh ist weg.,
Mi gefallt de Geschicht.,Mir gefällt die Geschichte.,
He trecken en Flunsch.,Er zieht eine Flunsch.,
"He wees dwungen, na Washington trüggtogahn.","Er war gezwungen, nach Washington zurückzukehren.",
Ik heff en Fründ dropen.,Ich habe einen Freund getroffen.,
Köönt alle Vogels flegen?,Können alle Vögel fliegen?,
Lehnst du mi diene Fohrrad för en Stünn?,Leihst du mir dein Fahrrad für eine Stunde?,
Ik schell en Appelsien för di.,Ich schäle eine Orange für dich.,
"Deit mi leeg, ik heff datt vergäten.","Tut mir leid, ich habe es vergessen.",
Wi hebbt James to ’n Präsident wählt.,Wir haben James zum Präsidenten gewählt.,
Gluup keene Lüdd an.,Starre keine Leute an.,
Ik wull Skisteveln köpen.,Ich möchte Skistiefel kaufen.,
Ik hebb twe Bröörs un drie Süstern.,Ich habe zwei Brüder und drei Schwestern.,
Se will datt verstohn.,Sie wollte es verstehen.,
Ik wees vergangen Winter Skilopen in Kanada.,Ich war letzten Winter Skilaufen in Kanada.,
Ronnie James Dio siene Dood het mi tæmlich trurig maakt.,Ronnie James Dios Tod hat mich ziemlich traurig gemacht.,
"„Weet ik doch nech“, sä Tom.","„Ich weiß es nicht“, sagte Tom.",
Miene Söön kan al bet hunnert tellen.,Mein Sohn kann schon bis hundert zählen.,
He kluckt al den ganzen Dag op ’t Klo.,Er sitzt den ganzen Tag auf der Toilette.,
Lat uns Sushi äten.,Lass uns Sushi essen.,
Lat uns Sushi äten!,Lasst uns Sushi essen!,
He deed en poor Daag vüör siene hunnerdsten Geboortsdatum doodblieven.,Er starb ein paar Tage vor seinem hundertsten Geburtstag.,
Se hätt em vergäven.,Sie hat ihm vergeben.,
Datt Vörjohr is dor. Datt warrn jeden Dag warmer.,Der Frühling ist da. Es wird jeden Tag wärmer.,
"Wi brukt Mehl, Sucker un Eier, üm düssen Koken to moken.","Wir brauchen Mehl, Zucker und Eier, um diesen Kuchen zu machen.",
Miene Mest is afbraken.,Mein Messer ist zerbrochen.,
Woveel kost en Bier?,Wie viel kostet ein Bier?,
Ik heff vonmorgen keene Radio hört.,Ich habe heute Morgen nicht Radio gehört.,
"Ik hööp, datt du flugs wedder gesund warrst.","Ich hoffe, dass du schnell wieder gesund wirst.",
Theo is dicker worrn.,Theo ist dicker geworden.,
Welken von de twe is dürer?,Welche von den zweien ist teurer?,
Wullt du gohn?,Willst du gehen?,
Du wullt gohn?,Du möchtest gehen?,
Ik mag em.,Ich mag ihn.,
Ik leev för een Maand bi miene Unkels.,Ich lebe für einen Monat bei meinem Onkel.,
"Ik weet nicht, wat ik winnen odder verlesen do.","Ich weiß nicht, ob ich gewinnen oder verlieren werde.",
"Ik weet ich, wat ik winnen odder verlesen do.","Ich weiß nicht, was ich gewinne oder verliere.",
Wat ittst du giern?,Was isst du gerne?,
Ik heff eenfach opgeven.,Ich habe einfach aufgegeben.,
Mien Mama het mi en neet Fohrrad kofft.,Meine Mama kaufte mir ein neues Fahrrad.,
Köönt wi jo helpen?,Können wir dir helfen?,
Se hebbt mi de Hoor to kott sneden.,Sie haben mir die Haare zu kurz geschnitten.,
Se is en Stievkopp.,Sie ist eigensinnig.,
Se is en Stievkopp.,Sie ist ein Sturkopf.,
Se is en Stievkopp.,Sie ist halsstarrig.,
Se is en Stievkopp.,Sie ist widerspenstig.,
Kunnst du mi teihndusend Yen utlehnen?,Kannst du mir zehntausend Yen leihen?,
’Keene schall dann vüör diene Katz sorgen?,Wer wird dann für deine Katze sorgen?,
Na’n tweten Glas Wien is Tom spreeksch worrn.,Nach dem zweiten Glas Wein wurde Tom gesprächig.,
Ik wull datt mit egen Ogen sehen.,Das will ich mit eigenen Augen sehen.,
"Datt Ies is to dünn, üm diene Wicht uttohollen.","Das Eis ist zu dünn, um dein Gewicht auszuhalten.",
Ik kan di nech noog laven.,Ich kann dich nicht genug loben.,
"Deit mi leeg, man wi hebbt datt ook hill.","Entschuldigen Sie, aber wir haben es ebenfalls eilig.",
Datt Röhr is ünner den Waterdruck bossen.,Das Rohr barst unter dem Wasserdruck.,
Woter is in düsse Kuntrei knapp.,Wasser ist in dieser Gegend knapp.,
Datt Ies smeckt goods. Wullt du würklich nix hebben?,Das Eis schmeckt gut. Möchtest du wirklich nichts haben?,
De Garcías sünd noch nicht ankamen.,Die Garcías sind noch nicht angekommen.,
Ik heff veele lihrt ut siene Böker.,Ich habe viel aus seinen Büchern gelernt.,
He deed Tennis speelen.,Er spielte Tennis.,
Miene Unkels verköfft Fischen.,Mein Onkel verkauft Fische.,
"Se is rieke, man he is arm.","Sie ist reich, aber er ist arm.",
Gröön lett goods an di.,Grün steht Ihnen.,
Se is 81 worrn.,Sie ist 81 geworden.,
"Datt is antoraden, de Priesen vörher to vergliekt.","Es ist empfehlenswert, die Preise vorher zu vergleichen.",
Datt kan ich angahn!,Das ist nicht möglich!,
Datt kan nech angahn!,Das kann nicht sein!,
Datt kan nicht angahn.,Das kann nicht wahr sein.,
Ik kenn ehr gornich.,Ich kenne sie überhaupt nicht.,
In de Ümgegend von Chicago hätt datt regen.,In der Gegend um Chicago hatte es geregnet.,
Hüdigendaags speelt de Kinners ich mihr buten.,Heutzutage spielen die Kinder nicht mehr draußen.,
En Klock hangt an ’e Wand.,Eine Uhr hängt an der Wand.,
Ik mag ehrn Hoot nech.,Ich mag ihren Hut nicht.,
Ik sta op diene Siet.,Ich bin auf deiner Seite.,
Ik wull nicht mit em spelen.,Ich will nicht mit ihm spielen.,
Woveel het de Brill kost?,Wie viel hat die Brille gekostet?,
Miniröck kaamt wedder in Mood.,Miniröcke kommen wieder in Mode.,
Ik verstoh diene Spraak.,Ich verstehe deine Sprache.,
"Du böst en Düütsche, nicht?","Du bist Deutscher, nicht?",
"Wo beters he de Spraak kinnt, wo minner mag he ehr.","Je besser er die Sprache kennt, desto weniger mag er sie.",
"Nee, ik bün datt nech, du bünt datt!","Nein, ich bin es nicht, du bist es!",
Nu sniet datt.,Jetzt schneit es.,
Klock söven gah ik na School.,Um sieben Uhr gehe ich zur Schule.,
Ik söök miene Kamera.,Ich suche meine Kamera.,
He kan keene Düütsk un ook keene Fransch snacken.,Er kann kein Deutsch und auch kein Französisch.,
De Zoo hätt twe Okapis.,Der Zoo hat zwei Okapis.,
"Dor is keene Twievel, datt he unschüllig is.","Es gibt keinen Zweifel, dass er unschuldig ist.",
Ik heff en Inladen kriegen.,Ich habe eine Einladung bekommen.,
Vogels fleegt faken tohoop.,Vögel fliegen oft zusammen.,
Miene lütten Süster is en bäten lösig.,Meine kleine Schwester ist ein bisschen faul.,
Tom het noch mihr Frogen.,Tom hat noch mehr Fragen.,
Wi lachen un lachen.,Wir lachten und lachten.,
Se is ut Somalia.,Sie ist aus Somalia.,
He toog sick an.,Er zog sich an.,
He toog sick an.,Er hat sich angezogen.,
"Ik weet, datt Tom de Söön vun en Polizist is.","Ich weiß, dass Tom der Sohn eines Polizisten ist.",
"Weren Tom un Rias huer, as du ankeemst?","Waren Tom und Maria hier, als du ankamst?",
Ik heff noch nie en lebennigen Blackfisch äten.,Ich habe noch nie einen lebendigen Tintenfisch gegessen.,
"De, de mi kinnt, weet, datt ik kathoolsch bün.","Der, der mich kennt, weiß, dass ich katholisch bin.",
Se hätt datt Geld von em kriegen.,Sie hat das Geld von ihm bekommen.,
"Ik bruuk en Spegel, üm mi to kämmen.","Ich brauche einen Spiegel, um mich zu kämmen.",
Woneem gest du ehr sehen?,Wo hast du sie gesehen?,
Woveel Brukers ünnerstütt Websteden so as Tatoeba?,Wie viele Benutzer unterstützen Webseiten wie Tatoeba?,
Op jeden Pott passt en Stulp.,Auf jeden Topf passt ein Deckel.,
Woveel chineesch Frünnen hess du?,Wie viele chinesische Freunde hast du?,
Miene Schoolmeester heet Breno.,Mein Lehrer heißt Breno.,
"Tom seggt, datt jedereen, den he kinnt, datt deit.","Tom sagt, dass jeder, den er kenne, das tue.",
De Hochtied is an ’n Sünnavend.,Die Hochzeit findet am Samstag statt.,
Waorüm kunnst du nicht komen?,Warum kannst du nicht kommen?,
"Du snackst, as wenn du de Baas weerst.","Du redest, als wärst du der Chef.",
De Junge praat as wenn he en Vullwussenen is.,"Der Junge spricht, als ob er ein Erwachsener wäre.",
Ik heff en Fru.,Ich habe eine Frau.,
Se seeg siene Gesicht.,Sie erblickte sein Gesicht.,
"Se het em allen lihrt, wat se wüss.","Sie hat ihm alles beigebracht, was sie wusste.",
"Wo lange duurn datt, mit ’n Fleger na Okinawa to flegen?","Wie lange dauert es, mit dem Flugzeug nach Okinawa zu fliegen?",
Se nömen em en Bangbüx.,Sie nannten ihn einen Feigling.,
Tom sleut hinner us de Dœr.,Tom schloss hinter uns die Tür.,
Se schrieft nu en Book.,Sie schreibt jetzt ein Buch.,
He füng siene Dag mit en goods Freuhstück an.,Er begann seinen Tag mit einem guten Frühstück.,
He füng siene Dag mit en goods Freuhstück an.,Er fing seinen Tag mit einem guten Frühstück an.,
De Akkus sünd al wedder leddige.,Schon wieder sind die Akkus leer.,
"’Keene sünd ji, datt ji so mit mi utsnackt?","Wer seid ihr, dass ihr so mit mir sprecht?",
Dröff ik huer Fotos moken?,Darf ich hier fotografieren?,
En Glasbuddel wiggt veele mihr as en Plastikbuddel.,Eine Glasflasche wiegt viel mehr als eine Plastikflasche.,
Dit Puzzle hätt fievhunnerd Delen.,Dieses Puzzle hat fünfhundert Teile.,
"Mi dücht, Computerviren schöölt as Levensform keken warrt.","Ich denke, man sollte Computerviren als Lebensform betrachten.",
Stell de Ledder an ’e Müür.,Stelle die Leiter an die Mauer.,
In de Leevd un in ’n Krigg is allen verlöövt.,In der Liebe und im Krieg ist alles erlaubt.,
Tom siene Süster heet Rias.,Toms Schwester heißt Maria.,
"Kan angahn, datt he de Formel ich kinnt het.","Es kann sein, dass er die Formel nicht kannte.",
Disse Vagel is en Wipstiärt.,Dieser Vogel ist eine Bachstelze.,
Ik fang vonavend an.,Ich fange heute Abend an.,
Ik fang vonavend an.,Ich beginne heute Abend.,
He verdeint drie Mal so veele as ik.,Er verdient drei Mal so viel wie ich.,
He is al na Huus gohn.,Er ist bereits heimgegangen.,
Ik verdrink!,Ich ertrinke!,
"Gest du nech seggt, datt diene Wogen stahlen worrn is?","Hast du nicht gesagt, dass dein Wagen gestohlen worden sei?",
"Egentlich will ik en Borgfrölen in en von söven Draken bewaakt Toorn wäsen, un dunn schull en Prinz op en witt Peerd de Draken de Köpp afhaun un mi befreen.","Eigentlich wollte ich ein Burgfräulein in einem von sieben Drachen bewachten Turm sein, und dann würde ein Prinz auf einem weißen Pferd den Drachen die Köpfe abschlagen und mich befreien.",
Wannehr kaamt wi an?,Wann kommen wir an?,
"Du hess doch seggt, datt du dor mit fardig büs.","Du sagtest doch, du wärest damit fertig.",
Wi sünd jüst an ’n Bahnhoff anlangt.,Wir sind gerade am Bahnhof angekommen.,
"Se will nicht, datt he mit annere Froonslüüd utgeiht.","Sie wollte nicht, dass er mit anderen Frauen ausgeht.",
Ik wohn in de Neeg von’n Diek.,Ich wohne in der Nähe vom Deich.,
Ik wohn in de Neeg von’n Diek.,Ich wohne in der Nähe des Deiches.,
Ik söök miene Frünn.,Ich suche meine Freunde.,
Ik schriev teemlich faken Bidrääg för Wikipedia.,Ich schreibe sehr oft Beiträge für Wikipedia.,
"Egen bün ik ich, aver wenn ik nech op ’n Saal pissen dröff, dann wull ik ook nicht danzen.","Eigen bin ich nicht, aber wenn ich nicht in den Saal pinkeln darf, dann will ich auch nicht tanzen.",
Mien Grôtmoder kan flegen.,Meine Großmutter kann fliegen.,
Datt Schipp hätt siene Kurs ännert.,Das Schiff wechselte seinen Kurs.,
Datt Schipp het siene Kurs ännert.,Das Schiff hat seinen Kurs geändert.,
Ik harrn en Idee.,Ich hatte eine Idee.,
Ik harrn vergangen Nacht ehrder toslapen gohn schöölt.,Ich hätte letzte Nacht früher schlafen gehen sollen.,
Wees datt Book intressant?,War das Buch interessant?,
De Demonstranten smeten Steen na de Polizei.,Die Demonstranten warfen Steine auf die Polizei.,
He steiht Klock söven op.,Er steht um sieben Uhr auf.,
Hol op mit de Tung to smirksen.,Hör auf mit der Zunge zu schnalzen.,
Jack siene Book is intressant.,Jacks Buch ist interessant.,
Wat hätt datt mit di to doot?,Was hat das mit dir zu tun?,
"Süht ut, as wenn keeneen weet, woneem John afbleven is.","Niemand scheint eine Ahnung zu haben, wo John ist.",
Wat het he socht?,Was hat er gesucht?,
"De Tähnfee lihrt Kinners, datt se Delen von jemehr Liev för Geld verköpen köönt.","Die Zahnfee lehrt die Kinder, dass sie Körperteile für Geld verkaufen können.",
Tom hätt en Peerd köfft.,Tom hat ein Pferd gekauft.,
Ik wees vüör tein Joht in Fukuoka.,Ich war vor zehn Jahren in Fukuoka.,
Wo lange is dit Visum güllig?,Wie lange ist dieses Visum gültig?,
Wat schriffst du?,Was schreibst du?,
Tom wull arbeidt.,Tom will arbeiten.,
Datt is en Book övers Steerns.,Das ist ein Buch über Sterne.,
Ik kan datt ich utsluten.,Ich kann das nicht ausschließen.,
Ik betahl de Reken.,Ich bezahle die Rechnung.,
Jümmerto to Deensten!,Stets zu Diensten!,
Siene Süster süht jund ut.,Seine Schwester sieht jung aus.,
Eet so veele du wullt.,Iss so viel du willst.,
Se kan noch nech Fohrrad fohren.,Sie kann noch nicht Fahrrad fahren.,
"Oost west, tohuus beste.","Ob im Osten oder Westen, in der Heimat ist's am besten.",
Ken het sick blangen mi sett.,Ken setzte sich neben mich.,
De Halvscheed von de Oort sünd Seken.,Die Hälfte der Art sind Weibchen.,
Tom hätt en Hümpel Stüürschullen.,Tom hat eine Menge Steuerschulden.,
Ik güng na Huus.,Ich ging nach Hause.,
Du böst jüstso groot as ik.,Du bist genauso groß wie ich.,
Düsse Maand güng tæmlich gau rüm.,Dieser Monat verging sehr schnell.,
Tom deed den Ammel bet na ’n Rand vullmaken.,Tom füllte den Eimer bis zum Rand.,
Datt geit em beters.,Es geht ihm besser.,
Sünd Tom un Rias alle beid in Boston boren worrn?,Sind Tom und Maria alle beide in Boston geboren worden?,
Ik bün Inschenör.,Ich bin Ingenieur.,
Wannehr maakt de Laden dicht?,Wann schließt der Laden?,
Alle wullen datt weten.,Alle wollten es wissen.,
Gau rut huer!,Schnell raus hier!,
"Goods, dunn drück mi de Dumen, datt datt klappt.","Gut, dann drück mir mal die Daumen, dass es klappt.",
"Ik bün dor tegen, datt se dor alleen hengeiht.","Ich bin dagegen, dass sie allein dorthin geht.",
"Wat gest du drunken: Bier, Snaps, Wien odder Champagner?","Was hast du getrunken: Bier, Schnaps, Wein oder Champagner?",
Een von de Stalen is afbraken un ik bün mit ’n Stohl ümkippt.,Eins von den Stuhlbeinen ist abgebrochen und ich bin mit dem Stuhl umgekippt.,
Wannehr föhrst du los?,Wann fährst du los?,
Se möök em sitten.,"Sie forderte ihn auf, sich zu setzen.",
"Se is krüüsch, wat Äten angeiht.","Sie ist wählerisch, was Essen betrifft.",
"Deit mi leeg, datt datt so komen is.","Es tut mir leid, dass es so gekommen ist.",
He versöcht sick sülvens ümtobringen.,Er versuchte Selbstmord zu begehen.,
"Pass op, datt du di nicht verköhlst.","Pass auf, dass du dich nicht erkältest.",
Ik heff en Miegprobleem.,Ich habe ein Urinproblem.,
"Allen, wat ik harrn, heff ik di gäven.","Alles, was ich hatte, habe ich dir gegeben.",
Wohre Keerls drinken Tee.,Wahre Männer trinken Tee.,
Wi frein uns op ’n Besöök von uns Unkels.,Wir freuen uns auf den Besuch unseres Onkels.,
Wi frein uns op ’n Besöök von uns Unkels.,Wir freuen uns auf den Besuch von unserem Onkel.,
Kunnst du mi diene Wöörbook utlehnen?,Kannst du mir dein Wörterbuch leihen?,
Mary kaakt ahn Solt.,Mary kocht ohne Salz.,
Du snackst toveel.,Du redest zu viel.,
Du snackst toveel.,Du sprichst zu viel.,
Du hess wol toveel vüör’n Kiekkasten seten.,Du hast wohl zu viel ferngesehen.,
Von de nableven Wöör op de List sünd fief Nomen.,Von den übriggebliebenen Wörtern auf der Liste sind fünf Hauptwörter.,
Glenn het twe Fründinnen.,Glenn hat zwei Freundinnen.,
"He deed vörgeven, datt he en Dokter is.","Er hat vorgetäuscht, dass er ein Doktor ist.",
"Ik begriep ich, wat du dor mit beraken wullt.","Ich begreife nicht, was du damit erreichen willst.",
Snackst du Lettsch?,Sprichst du Lettisch?,
He harrn Schauspeler warrt schullen.,Er hätte Schauspieler werden sollen.,
Drück nienich düssen Knoop.,Drücke niemals diesen Knopf.,
Lat uns tein Minuten Paus moken.,Lasst uns zehn Minuten Pause machen.,
"Oh, ik seh jüst, Kalmücksch is to en Tatoeba-Spraak worrn.","Oh, wie ich sehe, ist Kalmückisch gerade zu einer Tatoeba-Sprache geworden.",
Ik wees mööd.,Ich war müde.,
Mama maakt jüst en Koken.,Mama macht gerade einen Kuchen.,
"Weten is as Mest, datt is man dann goods, wenn datt utbröcht warrn.","Wissen ist wie Stallmist, nur gut, wenn er ausgebracht wird.",
Se is wiss jüstso smucket as ehr Süster.,Sie ist mindestens genauso schön wie ihre Schwester.,
"Pass op mit datt Stroh, ans musselst du den ganzen Hoff vull.","Gib acht mit dem Stroh, sonst sudelst du den ganzen Hof voll.",
"He is nech in de Laag, datt to doot.","Er ist nicht in der Lage, es zu tun.",
Ik bün beters as du.,Ich bin besser als du.,
Ik bün en gode Lehrer.,Ich bin ein guter Lehrer.,
Wi sünd mit em na ’n Flegerhaven komen.,Wir begleiteten ihn zum Flughafen.,
Mika un Ken sünd Frünn.,Mike und Ken sind Freunde.,
He deed den Politikers mit en grotten Hümpel Geld smeren.,Er schmierte den Politiker mit einem großen Haufen Geld.,
Datt sniet.,Es schneit.,
Broot warrn von Roggen maakt.,Brot wird aus Roggen gemacht.,
De eerste Runne geit op ’t Huus.,Die erste Runde geht aufs Haus.,
Siene Wunn blödd.,Seine Wunde blutete.,
"Datt is verbaden, Saken ut datt Finsters to smieten.","Es ist verboten, Gegenstände aus dem Fenster zu werfen.",
Waorüm deist du datt?,Warum tust du das?,
Se hätt bi ’t Tennis gägen em verlorene.,Sie hat gegen ihn im Tennis verloren.,
Ik mag hitten Tee lever as kolen.,Ich mag heißen Tee lieber als kalten.,
Se kan Fransch snacken.,Sie kann Französisch sprechen.,
Dor wees meist nüms in ’n Ruum.,Es war kaum jemand im Zimmer.,
Hebbt ji Dörst?,Habt ihr Durst?,
Ik bün Ungaar.,Ich bin Ungar.,
"Wo gröttern de Gefohr, wo gröttern de Ehr.","Je größer die Gefahr, desto größer die Ehre.",
Mak mol foffteihn.,Mach mal halblang.,
In ’t Vörjohr warrn de Daag länger.,Im Frühling werden die Tage länger.,
Wi wüllt uns nicht in ’e Will kregen.,Wir wollen uns nicht in die Wolle kriegen.,
Datt Daagbladd kost nix.,Diese Zeitung kostet nichts.,
Ik verseuk Geld to sporen.,"Ich versuche, Geld zu sparen.",
Drie hoog drie maakt sövenuntwintig.,Drei hoch drei macht siebenundzwanzig.,
Spaansche is licht.,Spanisch ist leicht.,
Ik heff ehr en Popp tostüürt.,Ich sandte ihr eine Puppe.,
Gewuënhait häf graute Kraft.,Gewohnheit hat große Kraft.,
"Isset wohr, datt Midori so goot Vigelien speelt?","Stimmt es, dass Midori so gut Geige spielt?",
Du bünt mit ’n Dummbüdel slahn.,Du bist bekloppt.,
Datt rükt teemlich goods.,Es riecht sehr gut.,
Datt is keene Speel!,Das ist kein Spiel!,
Ik lehr Törksch.,Ich lerne Türkisch.,
"Wis mi, wat du in ’e Tasch gest.","Zeig mir, was du in der Tasche hast.",
Se speelt mit di as en Katte mit en Muus.,Sie spielt mit dir wie eine Katze mit einer Maus.,
Tom keem mit’n Buss na Huus.,Tom kam mit dem Bus nach Hause.,
Se nehm datt Foto wedder in ehr Hand.,Sie nahm das Foto wieder in ihre Hand.,
Wi hebbt en witte Katz.,Wir haben eine weiße Katze.,
"Wat magst du lever, Tee odder Kaffee?","Was magst du lieber, Tee oder Kaffee?",
He het mi mit Afsicht peddt.,Er hat mich mit Absicht getreten.,
Ik heff jüst soveel to doot as Tom.,Ich bin genauso beschäftigt wie Tom.,
Den Röök von Sireen mag ik besünners.,Den Duft von Flieder mag ich ganz besonders.,
Tom wüsch in de Speule de Pötte un Pannen av.,Tom wusch in der Spüle die Töpfe und Pfannen ab.,
Waorüm hess du so en düür Wöörbook kofft?,Warum hast du ein so teures Wörterbuch gekauft?,
"So plietsch un sachten as he is, is düsse Hund goden Sellschop för mi.","So klug und freundlich wie er ist, ist dieser Hund eine gute Begleitung für mich.",
"Ik weet ich, wat du meenst.","Ich weiß nicht, was du meinst.",
Wi mööt em helpen.,Wir müssen ihm helfen.,
Op jeden Fall geit di datt nix an.,Jedenfalls geht dich das nichts an.,
Datt geit di op jeden Fall nix an.,Das geht dich jedenfalls nichts an.,
He föhr mit Rias na Boston.,Er fuhr mit Maria nach Boston.,
Köönt ji mi datt Stehlen lihren?,Könnt ihr mir das Stehlen beibringen?,
Ik deed em nagahn.,Ich folgte ihm.,
Ik deed em nagahn.,Ich ging ihm nach.,
In ’n Winter heff ik jümmerto Snööv.,Im Winter bin ich ständig erkältet.,
Wi hebbt uns mit datt Fohren afwesselt.,Wir haben uns mit dem Fahren abgewechselt.,
He levt in en unbannig groot Huus.,Er lebt in einem riesigen Haus.,
’keene hätt datt Universum schapen?,Wer hat das Universum erschaffen?,
