rgn,ita,title
e che all'impruvisa...,e che all’improvviso,Morte di un ciclista
e... l'ha j’à tolt la vita.,e… gli ha tolto la vita.,Morte di un ciclista
"cun un alè sora, che pedêla,",con uno lassù che pedala,Morte di un ciclista
"che’ chêica, che’ tira,","che calca, che tira.",Morte di un ciclista
"Lò e’ pedêla, e e’ spenz e e’ suda,",Lui pedala e lui spinge e lui suda,Morte di un ciclista
"fintent ch’l'à int la buracia,",finché ha nella borraccia,Morte di un ciclista
Quand ch'e' piòv,Quando piove,Soddisfazione
e ad fura us bòbla de' fred,e fuori si trema per il freddo,Soddisfazione
la m' vin cla voja ad gnint,mi viene quella voglia di niente,Soddisfazione
A starebb d'aspitè,Starei ad aspettare,Soddisfazione
cla faza nòta,che faccia notte,Soddisfazione
cièus ad chesa,chiuso in casa,Soddisfazione
d'es arvenz ssòt,ii essere rimasto asciutto,Soddisfazione
Oz am so' tróv,Oggi mi sono trovato,Sorriso
s'un suróis t'la faza,con un sorriso sulla faccia,Sorriso
senza un perché,senza un motivo,Sorriso
Am so' incórt snò pió terd,Mi sono accorto solo più tardi,Sorriso
Ch'a j ho sbajè stréda,Che ho sbagliato strada,Il Viaggio
Dl'elt!,Ancora!,Il Viaggio
Mo s'è ch'um impórta mu me,Ma cosa mi importa,Il Viaggio
S'a viazèm insèn?!,Se viaggiamo insieme?!,Il Viaggio
​Magari t'at svég cuntènt,Magari ti svegli contento,Magari
La dmènga matòina,La domenica mattina,Magari
"S'e' sol, i cip-cip di gazutìn","Col sole, i cip-cip degli uccellini",Magari
U t arcòrda che t'ci,Ti rammenta che sei,Magari
Quel ad sabdi,Quello di sabato,Magari
"Tr’al stètui de presépi d’e’ mi ba,","Tra le statue del presepe del mio babbo,",Tra le statue del presepe del mio babbo
tόtta la nòta e’ fa la cóccia un gat.,tutta la notte fa la cuccia un gatto.,Tra le statue del presepe del mio babbo
"Tònd l’ha la luminèria per curóna,","Attorno ha le luci intermittenti per corona,",Tra le statue del presepe del mio babbo
"sòta, un tapét ad móschi par pultróna.","sotto, un tappeto di muschio per poltrona.",Tra le statue del presepe del mio babbo
"che ormai u m’éva stόff ènca e’ Nadèl,","che ormai mi aveva stancato anche il Natale,",Tra le statue del presepe del mio babbo
"che tènt in gir un gn’è piò gnént uguèl,","che tanto in giro non c’è più niente di uguale,",Tra le statue del presepe del mio babbo
"ch’ l’è óra da stvighièss, e mòrta lé,","che è ora di svegliarsi, e morta lì,",Tra le statue del presepe del mio babbo
"che al stètui de presépi li è snò gèss,","che le statue del presepe sono solo gesso,",Tra le statue del presepe del mio babbo
bambòz ch’i sta tótt l’an t’un scatulòun.,bambocci che stanno tutto l’anno in uno scatolone.,Tra le statue del presepe del mio babbo
Mò guèrda un pò che gat du ch’u s’è mèss!,Ma guarda un po’ quel gatto dove si è cacciato!,Tra le statue del presepe del mio babbo
A féva e’ funerèl dla religiòun,Stavo facendo il funerale della religione,Tra le statue del presepe del mio babbo
"e intènt che gat um dic, dé canapè,","e intanto quel gatto mi dice, dal canapè",Tra le statue del presepe del mio babbo
"che t’e’ Nadèl, chicòsa ad viv u j’è.","che nel Natale, qualcosa di vivo c’è.",Tra le statue del presepe del mio babbo
A vria ‘na voşia,Vorrei una voce,​La voce
ch’la parles par me,che parlasse per me,​La voce
e par tot quèj ch’i n gn’è piò,e per tutti quelli che non ci sono più,​La voce
"o chi è andé da n’èntra pèrta,","o che sono andati da un’altra parte,",​La voce
ch’la urlès quant l’è ora da urlè,che urlasse quando è il caso di urlare,​La voce
ch’la stess zétta quant l’è ora ad stè zett,che tacesse quando è il casso di tacere,​La voce
ch’la racuntes ‘na fola,che raccontasse una favola,​La voce
ma chi l’ha bşogn da créda mal foli,a chi ha bisogno di credere alle favole,​La voce
ch’la spachèss agli uretcchi,che rompesse i timpani,​La voce
ma chi e’ fa finta da nun sintì,a chi fa finta di non sentire,​La voce
ch’la s’incuntress sla vòşia,che si incontrasse con la voce,​La voce
A so steda batzèta du volti,Sono stata battezzata due volte,Il battesimo
la prèima in extremis,la prima in extremis,Il battesimo
"Po’,",Poi,Il battesimo
us ved che qualcdòun u j’ha arpinsèt,forse qualcuno ci ha ripensato,Il battesimo
e alòra n’ènt batèzz,e allora un altro battesimo,Il battesimo
"da ‘n prit còm un ènt,","da un prete come un altro,",Il battesimo
almèinch e’ paréva…,almeno pareva…,Il battesimo
Cért che quant i m’ha dett,Certo che quando mi hanno detto,Il battesimo
ch’u s’éra spuşé sla mi sòra dl’aşìl,che si era sposato con la mia suora dell’asilo,Il battesimo
an mi sò piò vargugnéta,non mi sono più vergognata,Il battesimo
perché a n’andéva a mèssa.,perché non andavo a messa.,Il battesimo
Signor,Signore,Voi che siete buono
a la so de sid u i n’èpar tot,lassù del posto ce n’è per tutti,Voi che siete buono
"cme l’univers,","come l’universo,",Voi che siete buono
sinò vo a s l’avrèsuv det.,se no voi ce l’avreste detto.,Voi che siete buono
Sol e’ pasag l’è stret.,Solo il passaggio è stretto.,Voi che siete buono
Cma s’ fal a fê’,Come si fa a fare,Voi che siete buono
un architet cme vo?,un architetto come voi?,Voi che siete buono
"Signor, slarghìli,","Signore, allargatele,",Voi che siete buono
vo ch’a si bon!,voi che siete buono.,Voi che siete buono
che la matèina prest,che al mattino presto,A MEZZO SERVIZIO
al ciapéva la curiera,prendevano la corriera,A MEZZO SERVIZIO
ma la staziòun ad Ciarasul,alla stazione di Cerasolo,A MEZZO SERVIZIO
per Rèmni.,per Rimini.,A MEZZO SERVIZIO
a mez servizi,a mezzo servzio,A MEZZO SERVIZIO
fina al quatri de dòp mizdè.,fino alle quattro del pomeriggio.,A MEZZO SERVIZIO
"A pid, so per la costa","A piedi, su per il pendio",A MEZZO SERVIZIO
"e’ pas l’era strach,","il passo era stanco,",A MEZZO SERVIZIO
"ma al duveva pansè mi fiùl znin,",ma dovevano pensare ai figli piccoli,A MEZZO SERVIZIO
e mi lavur dla chèsa,ed ai lavori di casa,A MEZZO SERVIZIO
che i’èra arvenz indrì.,che erano rimasti indietro.,A MEZZO SERVIZIO
LA SBÀNZLA,L'ALTALENA,A MEZZO SERVIZIO
La corda tachèda so,La corda legata,A MEZZO SERVIZIO
"te’ rem gros de’ canadà,","al grosso ramo del pioppo,",A MEZZO SERVIZIO
l’àsa per stè da sdé.,l’asse per stare seduti.,A MEZZO SERVIZIO
A s badurlimi agli óri,Passavamo ore,A MEZZO SERVIZIO
e’ pareva d’arvè t’e’ cièl.,pareva d’arrivare al cielo.,A MEZZO SERVIZIO
Po bel… quand e’ sól,Che bello… quando il sole,A MEZZO SERVIZIO
e’ sparpajéva agli ùtmi maci rossi,sparpagliava le ultime screziature rosse,A MEZZO SERVIZIO
"tra ‘l novli,","fra le nuvole,",A MEZZO SERVIZIO
"i lè sora, sal gambi stesi,","là in alto, a gambe tese,",A MEZZO SERVIZIO
"e’ paréva da tuchè sla punta di pid,","sembrava di toccare con la punta dei piedi,",A MEZZO SERVIZIO
la cresta ad Sanmarèin.,la cresta di San Marino.,A MEZZO SERVIZIO
MARIÙL,MARIA,A MEZZO SERVIZIO
Al tu mèni tra i cavèl,Le tue mani tra i capelli,A MEZZO SERVIZIO
"agli è stè carezi,","sono state carezze,",A MEZZO SERVIZIO
a n santiva gnènca,non sentivo nemmeno,A MEZZO SERVIZIO
Disdè m’e’ sòl,Sedute al sole,A MEZZO SERVIZIO
t’a m fèfti la trecia.,mi facevi la treccia.,A MEZZO SERVIZIO
intent a guardimi i nòst,mentre guardavamo i nostri familiari,A MEZZO SERVIZIO
"che i’arcuiva e’ fóin t’e’ cróin,",che raccoglievano il fieno nel cesto di vimini,A MEZZO SERVIZIO
e te,e tu,A MEZZO SERVIZIO
t’a m pitnivti…,mi pettinavi…,A MEZZO SERVIZIO
DAPARMÈ,DA SOLA,A MEZZO SERVIZIO
Al bev tot,Lo bevo tutto,A MEZZO SERVIZIO
sta zet,questo silenzio,A MEZZO SERVIZIO
"ch’u j’è ad chèsa,","dentro casa,",A MEZZO SERVIZIO
snà al lanzèti,solo le lancette,A MEZZO SERVIZIO
dl’arlòz tachèd t’e’ mur,dell’orologio appeso al muro,A MEZZO SERVIZIO
li m fa cumpagnia.,mi fanno compagnia,A MEZZO SERVIZIO
"L’è mezanòta,",È notte fonda,FANTASIE
ho las in zir,ho lasciato in giro,FANTASIE
la mi s-ciòfla,la mia ciabatta,FANTASIE
a sper che qualcun,spero che qualcuno,FANTASIE
u la trova,la troovi,FANTASIE
me intènt,io intanto,FANTASIE
I tu oc,I tuoi occhi,LA PENTOLA
ho mes,ho messo,LA PENTOLA
la pgnata se fugh,la pentola sul fuoco,LA PENTOLA
aspet che l’aqua la bol,aspetto che l’acqua bolla,LA PENTOLA
A j’ò un non so che,Ho un non so che,SMANIA
"masòs,","addosso,",SMANIA
a n so cusèl ch’l’è,non so cos’è,SMANIA
ò voia ad tot,ho voglia di tutto,SMANIA
a n’ò voia d’gnìnt.,e di niente.,SMANIA
At fura,Fuori,SMANIA
iquè daparme,"io, qui da sola,",SMANIA
i mur,le pareti,SMANIA
a i sint trop stret,le sento troppo strette,SMANIA
Nu’ stà,Non stare,Pensieri
si’ tu pensir,con i tuoi pensieri,Pensieri
t’a n tròv oz,non trovi oggi,Pensieri
quel ch’ u n gn’éra ìr.,quello che non c’era ieri.,Pensieri
La név la’n gn’éra,La neve non c’era,​Abbracciati
mo l’éra coma ch’la i fos.,ma era come se ci fosse.,​Abbracciati
"A so sól ch’a séva a e’ mònd,","So solo che ero viva,",​Abbracciati
da fê’ e’ žir de mònd e brazêl.,da fare il giro del mondo e abbracciarlo.,​Abbracciati
"Te t’am tniva streta,","Tu mi tenevi stretta,",​Abbracciati
par nö fêm invulê’ in tot che fred.,per non farmi volar via in tutto quel freddo.,​Abbracciati
U m’pê’ impusèbil,Mi sembra impossibile,​Abbracciati
"mo in cla nöt giazêda,","ma, in quella notte gelida,",​Abbracciati
a sen sté bon d’stê’ tot du,siamo riusciti a state tutti e due,​Abbracciati
sot’una cvérta.,sotto una coperta.,​Abbracciati
"A e’ bur, zet,","Al buio, zitti,",​Abbracciati
a cuntês di fët.,a raccontarci storie.,​Abbracciati
E cun piò ch’a végh luntân,E più vado lontano,
cun piò ch’a so indo ch’a stëgh.,più so dove abito.,
Sól cvând ch’a so ‘riva d’cò,Solo quando sono arrivata in fondo,
u m’ven int la ment com ch’u s’fa a andês a ca.,mi ricordo come si fa a tornare a casa.,
"Sugamën biénc, cadèin, tìl ad lanzùl.","Asciugamani bianchi, catini, teli di lenzuolo.",La notizia
U i ëra un gràn sfugnẹzz quànd u s parturìva ad chéṡa.,C’era una gran confusione quando si partoriva in casa.,La notizia
"Pọ u s santìva pièggn e’ burdlìn,","Poi si sentiva piangere il bimbo,",La notizia
"i dulùr i ëra pàs, e’ vìa vài fnìd.","i dolori erano passati, il viavai finito.",La notizia
"U s pasëva vóṡa,","Si passava voce,",La notizia
"qualcdùn ad cùrsa e’ purtëva la növa m’ e’ marìd, ch’ l arëva in chéva la préṡa.","qualcuno di corsa portava la notizia al marito, che arava in fondo alla presa.",La notizia
"I vistìd i ëra grànd,","I vestiti erano grandi,",La fola
"E’ dẹ dòpp ch’ l ëra nëd i vṡèin i s gìva ‒ ma nùn burdẹll ‒ che la nöta i l avìva tröv t l ört, sòtta i chévli.",Il giorno dopo che era nato i vicini ci dicevano – a noi bambini – che la notte l’avevano trovato nell’orto sotto i cavoli.,La fola
Lìa la n à snò e’ péṡ dal bórsi dla spéṡa.,Lei non ha solo il peso delle borse della spesa.,Lui e lei
"La s përd davënti mu mẹ cla curòuna ad mùnt,","Si perde davanti a me quella corona di monti,",Neve
s’ e’ vél da spóṡa l è na maravẹa.,con il velo da sposa è una meraviglia.,Neve
A stàg ilẹ a guardëla.,Sto lì a guardarla.,Neve
e u m ciàpa un sentimënt ch’ u m arpörta indrì.,e mi prende un sentimento che mi riporta indietro.,Neve
"L invërni l ëra lònng e frèdd,","L’inverno era lungo e freddo,",Neve
"e’ nëṡ giàz,","il naso gelato,",Neve
"al mëni sënza guënt,","le mani senza guanti,",Neve
e i pìd instichéd drëntra la nìva fìna al ṡnöci per andë a scöla.,i piedi affondati dentro la neve fino alle ginocchia per andare a scuola.,Neve
"U n si cuntëva i dẹ, sperànd ch’ l’ andẹss vìa prëst,","Non si contavano i giorni, sperando che se ne andasse presto,",Neve
"u s aspitëva,","si aspettava,",Neve
La vóṡa chélda fìn da matèina prëst e’ paréva da bévla drënta la tàza de’ làt.,La voce calda fin dalla mattina presto sembrava di berla dentro la tazza del latte.,La porta aperta
Al strisëva al pìghi dla tu sutëna tra al röbi dla cuṡèina.,Strisciavano le pieghe della tua sottana fra le cose della cucina.,La porta aperta
"A t guardëva s’ la mi muṡaröla,","Ti guardavo col mio musetto sporco,",La porta aperta
a t guardëva la dmènnga s’ e’ vistìd növ.,ti guardavo la domenica col vestito nuovo.,La porta aperta
"La s è sbiavì d afàt l’ infẹżżna t e’ spëc’ de’ cumò,","Si è sbiadita del tutto l’immagine nello specchio del comò,",La porta aperta
la s è lugrë la paranënza.,si è logorato il grembiule.,La porta aperta
T e’ scùr dla chéṡa e’ mi pàs e’ trambàla,Nel buio della casa il mio passo traballa,La porta aperta
"L è stë un ṡgònnd,","È stato un secondo,",La porta aperta
u i ëra d arnöv la tu infẹżżna t e’ spëc’ e al pẹddghi t la pòllvra.,c’era di nuovo la tua immagine nello specchio e le impronte nella polvere.,La porta aperta
L ëra pàs l ëla d un ànżli,Era passata l’ala di un angelo,La porta aperta
"L è ilażọ se’ mër,","È laggiù sul mare,",Il vento
"nọvvli ciachédi e nìri,","nuvole schiacciate e nere,",Il vento
"e’ dà d mörs m’ i scọi,","morde gli scogli,",Il vento
la s arùgla la sàbia.,si arrotola la sabbia.,Il vento
"La su galöpa sọ tla culèina la ṡmàna, la ṡbàt","Il suo galoppo su per la collina scompiglia, sbatte",Il vento
i rëm i gratùṡa e’ cél.,i rami grattugiano il cielo.,Il vento
"E’ spàza e u s gòunfia,","Spazza e si gonfia,",Il vento
"e’ mastìga e u s mëṡa t i cantùn,",mastica e si nasconde negli angoli,Il vento
"e’ scapọzza t i scalèin,","inciampa negli scalini,",Il vento
"e’ mëṡna e e’ sòffia t i camèin,","macina e soffia nei camini,",Il vento
"e’ dàndla sla cìma de’ tètt,","oscilla sulla cima dei tetti,",Il vento
e’ càla e e’ biàsa spèssa la tènnda.,cala e biascica dietro la tenda.,Il vento
"La su cantëda l’ è una cantëda lònnga,","Il suo canto è un canto lungo,",Il vento
"mẹ a sìnt frèdd,","io sento freddo,",Il vento
"che’ dùl u m dà dàn,","quel lamento mi infastidisce,",Il vento
ma al sìnt da tònnda l istèss.,ma lo sento attorno lo stesso.,Il vento
"Sọ e żọ per la schéla,","Su e giù per la scala,",L’odore delle cose
"i fiùl tla brazëda,","i figli in braccio,",L’odore delle cose
"stë sọ s’ e’ sól,","alzarsi col sole,",L’odore delle cose
"e’ pën fàt ad chéṡa,","il pane fatto in casa,",L’odore delle cose
"Li s mucéva al staṡòun,","Si ammucchiavano le stagioni,",L’odore delle cose
"i zọccli t i pìd,","gli zoccoli ai piedi,",L’odore delle cose
"la sutëna bagnéda,","la sottana bagnata,",L’odore delle cose
"e’ ruṡëri la séra,","il rosario la sera,",L’odore delle cose
un sprài t i ọcc’ mai ṡmörz.,una luce negli occhi mai spenta.,L’odore delle cose
"la schìna pighéda,","la schiena piegata,",L’odore delle cose
isẹ znìna,così piccola,L’odore delle cose
t cìrti artórna burdëla.,eri tornata bambina.,L’odore delle cose
E’ sól l ëra żà ëlt:,Il sole era già alto:,L’odore delle cose
An me cardéva,Non avrei mai creduto,L’intelligenza artificiale
mai a e’ mònd,mai al mondo,L’intelligenza artificiale
ch’ e’ ciòta e’zil ad fòm e pôrbia,che copre il cielo di fumo e polvere,L’intelligenza artificiale
ch’ l’invlèna i fiù e e’ mêr,che avvelena i fiumi e il mare,L’intelligenza artificiale
"ch’ e’ taja e brusa j’élbur di bosch,","che taglia e brucia gli alberi dei boschi,",L’intelligenza artificiale
"par fê’ sèmpar piò bajòch,","per arricchirsi sempre di più,",L’intelligenza artificiale
"e’ pinsès ad stugê’, ad dè e ad nöta","pensasse di studiare, giorno e notte,",L’intelligenza artificiale
e… fêl scòrar.,e… farlo parlare.,L’intelligenza artificiale
"E’ pê’ ch’u j’épa za arspòst, un pô instizì:","Sembra che gli abbia già risposto, un po’ arrabbiato:",L’intelligenza artificiale
“S’a sit dvintê mat?,“Ma sei diventato matto?,L’intelligenza artificiale
T’a n’avré mìga che me,Non vorrai mica che io,L’intelligenza artificiale
a pensa còma te!”,pensi come te!”,L’intelligenza artificiale
A sêma a têvla tøtt déṡ insêm:,Eravamo a tavola tutti e dieci insieme:,Il puntiglio
"mè a féva e’ bẹcc’, parchè i m éva dêt, ṡgoenda mè, mênc faṡól ch’ nè ma chi élt.","io tenevo il puntiglio, perché mi avevano dato, secondo me, meno fagioli rispetto agli altri.",Il puntiglio
"Alóra e’ mi bà, støff, coemm u s fà cérti vólti par imbrujê i burdèll, u impoezza e’ ramajól int la pgnatìna ṡvùita e,","Allora mio babbo, stufo, come si fa certe volte per imbrogliare i bambini, affonda il ramaiolo nella pentola vuota e,",Il puntiglio
"ṡvélt ṡvélt, u m fà créd ad mẹtt di élt faṡól int e’ mi piàt.","svelto svelto, mi fa credere di mettere altri fagioli nel mio piatto.",Il puntiglio
"«I t bàsta adës, gnurglöna che tu n cé êlt?!».","«Ti bastano ora, piagnucolona che non sei altro?!».",Il puntiglio
"E mè, gnẹnca tênta cuntênta, parchè pù i faṡól i n mi piaṡéva gnẹnca, a murmugnètt: «Adësa sẹ ch’ i è sà!».","Ed io, neanche tanto contenta, perché poi i fagioli non mi piacevano neppure, mormorai: «Ora sì che sono abbastanza!».",Il puntiglio
"E i mi fradèll piø grènd, chi s n éra dét dl imbroei, i schjupètt giø d’ e’ rìd.","E i miei fratelli più grandi, che si erano accorti dell’imbroglio, scoppiarono a ridere.",Il puntiglio
"Par mè, d acórd: i faṡól l éra sênpra quì,","Per me, d’accordo: i fagioli erano sempre quelli,",Il puntiglio
"mö intênt i s n éra dét ad mè, ch’ a séra la piø scurdêta ad tøtt.","ma intanto si erano accorti di me, che ero la più dimenticata di tutti.",Il puntiglio
L éra e’ tênp ad méd:,Era il tempo di mietere:,Il tempo di mietere
e’ bà u batìva al fêlci nênz tênp.,il babbo batteva le falci per tempo.,Il tempo di mietere
"L’ êja, raspêta, la i éra lẹssa cmè un piàt.","L’aia, ripulita, era liscia come un piatto.",Il tempo di mietere
"E i znìn i i andéva incöntra piø têrd, s’ la ligàcia dla claziön.","E i piccoli andavano loro incontro più tardi, con la “legaccia” della colazione.",Il tempo di mietere
"A l’ ópra, ognùn la su amnêta: un grànd e un ragaztìn, un grànd e un znìn, da dré.","Una volta all’opera, ognuno la sua banda da mietere: un adulto e un bambino, un adulto e un bambino, vicino.",Il tempo di mietere
"E’ grànd, ögni tênt, u déva una falcêta int l’ amnêta de’ znìn par tirél sø fìn in chêv.","L’adulto, ogni tanto, dava una falciata nella banda del piccolo, per tirarlo su fino in cima.",Il tempo di mietere
"«Avênti burdèll, ramajênci: fnìt e’ cantér, tøtta gabanëla!».","«Avanti ragazzi, fatevi coraggio: finito il campo, tutta baldoria!».",Il tempo di mietere
"«St’ àn l è garnêt, l è spighét bên.",«Quest’anno la spiga è ben tosta.,Il tempo di mietere
Par mè a n avrên piø d àn…».,Per me ne avremo più dell’anno scorso…».,Il tempo di mietere
«Mè a dẹgg ch’ a n avrên tàc i nuvênta…».,«Io dico che ne avremo intorno ai novanta quintali…».,Il tempo di mietere
"«Oh, càla, càla: ch’ a n eṡagerêna!».","«Oh, cala, cala: non esageriamo!».",Il tempo di mietere
E l éra sênpr e’ bà ch’ u i andéva piø da dré.,E era sempre il babbo che ci andava più vicino.,Il tempo di mietere
"Bà, a t ö da dì un quël:","Babbo, ti devo dire una cosa:",Il bicchiere di mio babbo
(la màma la l à tnùt da cönt!).,(la mamma lo ha tenuto da conto!).,Il bicchiere di mio babbo
"S’ e’ cùl strètt, la boecca lêrga… ênca la tu mêna, cla purètta, la glia la féva a chjapêl sø.","Col fondo stretto, la bocca larga… anche la tua mano, quella colpita in guerra, riusciva ad afferrarlo.",Il bicchiere di mio babbo
"Ah, a m arcùrd coemm tu gìva:","Ah, mi ricordo come dicevi:",Il bicchiere di mio babbo
"«U sarà un’ idéa, mö mu mè u m piéṡ ad bé int e’ mi bichjér!","«Sarà una mia idea, ma a me piace bere nel mio bicchiere!",Il bicchiere di mio babbo
"Cardìl, ênc un pó ad sanżvéṡ, ad che’ mênc bön, mu mè u m pêr piø bön int e’ mi bichjér!","Credetelo, anche un po’ di sangiovese, di quello meno buono, a me sembra più buono nel mio bicchiere!",Il bicchiere di mio babbo
E pù l è inøttli: e’ bé nér u bṡoeggna bél int e’ vétri chjêr!».,E poi è inutile: il vino rosso bisogna berlo nel vetro chiaro!».,Il bicchiere di mio babbo
"Mö dìm, dìm piø-töst bà:","Ma dimmi, dimmi babbo piuttosto:",Il bicchiere di mio babbo
coemm tu sté a lẹ doe t cé?,come stai lì dove ti trovi?,Il bicchiere di mio babbo
"Ah, a m arcùrd e’ tu utimìṡmi ‒ oh Dìo ac parulöna!","Ah, me lo ricordo il tuo ottimismo – oh Dio che parolona!",Il bicchiere di mio babbo
"Tu gìva: «Chẹi t vó ch’ u sìa pr una mêna toecca, par vé fàt la guëra de’ Quarênta?","Tu dicevi: «Cosa vuoi che sia avere una mano appena lesa, per avere fatto la guerra del Quaranta?",Il bicchiere di mio babbo
Mè a i sö: e quì ch’ i n gn’ è piø da un pëz?!».,Io ci sono: e chi non c’è da un bel pezzo?!».,Il bicchiere di mio babbo
Mè a l ö dẹtt iarséra sa la màma: «U i vrẹbb e’ bà adës a vdé coemm a c’ cêm ardøtt: un viavài ch’ u n s capẹss gnẹnt.,Io l’ho detto con la mamma: «Ci vorrebbe il babbo ora per vedere come ci siamo ridotti: un viavai che non si capisce nulla.,Il bicchiere di mio babbo
A n-n ên gnẹnca e’ tênp ad arfiadê».,Non abbiamo il tempo nemmeno di fiatare».,Il bicchiere di mio babbo
Lù u c’ girẹbb da dlẹ doevv l è:,Lui ci direbbe da lì dove si trova:,Il bicchiere di mio babbo
"«Par rivé doevv a sö mè, a pudì andê ênca piø piên…».","«Per arrivare dove sono io, potete andare anche più piano…».",Il bicchiere di mio babbo
No t'murtê...,Non spegnerti...,Per te
No murtèm.,non spegnermi.,Per te
Lësm'incôra,Lasciami ancora,Per te
l'ingãn d'un sogn.,l'illusione del sogno.,Per te
'che fulèt,Di quel folletto,Per te
sufié sra 'e fùgh.,soffiato sul fuoco.,Per te
Che sgònd mai fnì,Quell’attimo d'infinito,Per te
rispirê insen a te.,respirato con te.,Per te
Trop curt par piãnzal,Troppo breve per piangerlo,Per te
trop fôrt par sminghël.,troppo intenso per dimenticarlo.,Per te
No murtèm,Non spegnermi,Per te
No t’ murtê...,non spegnerti...,Per te
U i è mièra d’an ad vol,Ci sono migliaia di anni di volo,POCO VERDE
Lôi che già e’ mèsa tla faldèda,Luglio che già nasconde nel ventre,POCO VERDE
la s fa tèndra la vosa ch’la ragna,si fa tenera la voce che grida,POCO VERDE
LA GITA,LA GITA,POCO VERDE
A’ sémm quéi che tal foto dal gite,Siamo quelli che nelle foto delle gite,POCO VERDE
"se sfònd, a guardàmie pugéd ma la cana","guardavamo sullo sfondo, appoggiati alla canna,",POCO VERDE
"ch’i pèsca da la palèda dri mizdè,","chi pesca dal molo verso mezzogiorno,",POCO VERDE
par fès travarsè de tèmp dal matèine.,per farsi traversare dal tempo delle mattine.,POCO VERDE
A sémm al stanghe dal bandiere ch’a l guèrda,Siamo le aste delle bandiere che guardano,POCO VERDE
e’ mèr e li s gira t’un scòs,il mare e d’un tratto si girano,POCO VERDE
"e u c pèr che un pensier e’ vòia travarsè,","e ci sembra che un pensiero voglia traversare,",POCO VERDE
mò u l lega un nud ch’l’è trop vèc.,ma lo lega un nodo che è troppo vecchio.,POCO VERDE
‘na burasca da dis per an e un nòmre,una burrasca da dirsi negli anni e un numero,POCO VERDE
"l’è un nom d’un bagnìn, de su ba, de su non.","è il nome di un bagnino, di suo padre, di suo nonno.",POCO VERDE
Ch’u s ciaparà l’impègn da vnìs a ciarchì,Chi vorrà mai prendersi l’impegno di venirci a cercare,POCO VERDE
"te fond d’un casètt d’un palàz, t’na cità,","nel fondo di un cassetto di un palazzo, in una città,",POCO VERDE
"te sfònd d’na primavera già zcòrda,",sullo sfondo di una primavera dimenticata,POCO VERDE
a farémm e’ gir de mônd fèrme ch’pèr un pèl.,faremo il giro del mondo fermi come pali.,POCO VERDE
s’un arsùra che bé un bastava,con una sete che bere non bastava,POCO VERDE
desdé sot’un ébre purchésia,seduto sotto un albero qualsiasi,POCO VERDE
senza prèg e né difèt,senza pregi né difetti,POCO VERDE
che e’ pasàs cl’umèt biénch,che passasse quell’ometto bianco,POCO VERDE
che un om u n’è e un ang-le gnènca.,che un uomo non è e neppure un angelo.,POCO VERDE
Cu m’insegnés la rèta via,Che mi indicasse la retta via,POCO VERDE
tramèza sti santìr in tla burasca.,in mezzo a questi sentieri nella burrasca.,POCO VERDE
e mé sa lia.,ed io con lei.,POCO VERDE
Burdell l’è j ùltum sprazz.,Ragazzi sono gli ultimi sprazzi.,Il mestiere
"U s’ fa qualch quèl cun i camion dop mezanòta, spessa e’ cavalcavia,","Si fa qualcosa coi camion dopo mezzanotte, dietro il cavalcavia,",Il mestiere
quell ch’ven ven.,quel che viene viene.,Il mestiere
E’ lun a fagh e’ marchè a Furlé in ca’ d’un’amiga.,Il lunedì faccio il mercato a Forlì in casa di un’amica.,Il mestiere
"Cióu, l’è fadiga;","Eh sì, è dura;",Il mestiere
"Che dé ch’a m’ truvarì mórta amazèda da quèlca pèrta cun la bursetta svùita, avrò pu’ finì.","Il giorno che mi troverete morta ammazzata da qualche parte con la borsetta vuota, avrò pure finito.",Il mestiere
E’ pió e’ sarà pr’e’ mi Gigin ch’u n’ saveva gnint.,Il peggio sarà per il mio Gigino che non sapeva niente.,Il mestiere
"Una sciàbula ad lata, una cumetta,","Una sciabola di latta, un aquilone,","E poi, la vita"
"un cumpagn da zughì insen,","un amico da giocarci assieme,","E poi, la vita"
impalughis sora la tvaja.,appisolarsi sulla tovaglia.,"E poi, la vita"
E’ ba’ ch’e’ ven a ca’,Il babbo che rincasa,"E poi, la vita"
e t’sint d’int e’ lèt ch’l’à méss e’ cadnaz:,e senti dal letto che ha messo il catenaccio:,"E poi, la vita"
e’ papon u n’ pò pió antrè.,l’orco non può più entrare.,"E poi, la vita"
la mama la j è alé:,la tua mamma è lì:,"E poi, la vita"
"«No’ avé pavura, dorma só».","«Non aver paura, su, dormi».","E poi, la vita"
E pó la vita.,"E poi, la vita.","E poi, la vita"
Agli évi ch’a l’ s’ fa la ca’ mei d’un inzgnir,Le api che si fanno la casa meglio di un ingegnere,Vai poi a capire
"E pó un taramòt e’ spiena una zità,","E poi un terremoto spiana una città,",Vai poi a capire
e’ babìn ‘d Filiberto ch’l’è nasù zigh.,il bambino di Filiberto che è nato cieco.,Vai poi a capire
Va’ pu’ a capì…,Vai poi a capire…,Vai poi a capire
Amilcare ch’u s’ lamènta de’ su fiól,Amilcare che si lamenta di suo figlio,I figli
"ch’u n’ n’à vója ad s-ciantèn, tótt’ la nota vajun, a trent’an senza un amstir, ch’u i tócca dèi da magné lo ch’l’è vèc","quello sfaticato, tutta la notte in giro, a trent’anni senza un mestiere, che gli tocca mantenerlo lui che è vecchio",I figli
