nds,de
Dat is miene Süster.,Das ist meine Schwester.
’Keen hett hier woll de Goldbarren inkuhlt?,Wer hat hier wohl die Goldbarren vergraben?
"Wi hebbt in ’e School lehrt, dat Shakespeare 1564 boren is.","Wir lernten in der Schule, dass Shakespeare im Jahre 1564 geboren wurde."
Mannslüüd kören man nich oft vun ehr Problemen.,Männer reden selten über ihre Probleme.
Ik will mi en Poor Skisteveln köpen.,Ich möchte mir ein Paar Skischuhe kaufen.
Ik bruuk en neet Fohrrad.,Ich brauche ein neues Fahrrad.
"Sue hett en dicken Achtersteven, aver dat maakt ehr nix.","Sue hat einen großen Hintern, aber sie macht sich nichts daraus."
Uns Tog höll opmaal an.,Unser Zug hielt plötzlich an.
Se hett em narrt.,Sie hat ihn genarrt.
In teihn Minuten eet wi to Middag.,In zehn Minuten essen wir zu Mittag.
"Ik weer an ’e Tuur, de Kamer reintomaken.","Ich war an der Reihe, das Zimmer zu putzen."
De Penn is harter as dat Sweerd.,Die Feder ist stärker als das Schwert.
Stopp dat Baby nich in ’n Sack!,Stopfe das Baby nicht in den Sack!
Dat is to snell.,Das ist zu schnell.
He hett Problemen in ’e School.,Er hat Probleme in der Schule.
Woveel Mangos wullt du?,Wie viele Mangos möchtest du?
De Buurhoff grenzt an de Straat.,Der Bauernhof grenzt an die Straße.
"He deed en Jung faatkriegen, as he em jüst en Klock stehlen deed.","Er erwischte einen Jungen, wie er ihm gerade seine Uhr stahl."
"Disse Klock höört mi nich to, de höört di to.","Diese Uhr gehört nicht mir, sondern dir."
De Hahn kreiht bi Sünnopgang.,Der Hahn kräht beim Sonnenaufgang.
Ik bün em 50.000 Yen schüllig.,Ich schulde ihm fünfzigtausend Yen.
Ik bün em 50.000 Yen schüllig.,Ich bin ihm fünfzigtausend Yen schuldig.
Ik bün em 1000 Yen schüllig.,Ich bin ihm 1000 Yen schuldig.
Ik deed geern maal in de Swiez föhren.,Ich würde gern mal in die Schweiz fahren.
"Ik heff Tom seggt, dat mi dat leed dee.","Ich sagte Tom, dass es mir leidtue."
Ik heff en Poor Schoh köfft.,Ich habe ein Paar Schuhe gekauft.
De Jung reed to ’n eersten Maal op en Peerd.,Der Junge ritt zum ersten Mal auf einem Pferd.
"Ik blööd, wenn ik Leevd maak.","Ich blute, wenn ich Liebe mache."
"Ik blööd, wenn ik Leevd maak.",Ich blute beim Beischlaf.
Elkeen lüggt.,Jeder lügt.
Dor is en Kiekschapp in mien Kamer.,Da ist ein Fernseher in meinem Zimmer.
Dor heff ik grood keen Lust tau.,Dazu habe ich gerade keine Lust.
Helen Keller weer doov un blind.,Helen Keller war taub und blind.
Woveel Nachten blievst du?,Wie viele Nächte bleibst du?
Noch dree Lüüd sünd in ’n Bus instegen.,Noch drei Personen stiegen in den Bus ein.
"Ik hööp, dat di dat good geiht.","Ich hoffe, es geht dir gut."
1989 weer en swoor Johr.,1989 war ein schwieriges Jahr.
Se hett mi dat Fischogen-Objektiv geven.,Sie hat mir das Fischaugenobjektiv gegeben.
Ik kann nich good slapen.,Ich kann nicht gut schlafen.
"Vertell mi, wat du in Shounan maakst.","Erzähl mir, was du in Shōnan machst!"
Ik föhr mit dat Rad na School.,Ich fahre mit dem Rad zur Schule.
Is dat franzöösch?,Ist das Französisch?
Tom is nich trurig.,Tom ist nicht traurig.
Ik speel en Speel mit miene Süster.,Ich spiele ein Spiel mit meiner Schwester.
Bob is mien Fründ.,Bob ist mein Freund.
Se is in ’n achten Maand.,Sie ist im achten Monat.
Dor liggt en Koort op ’n Disch.,Es liegt eine Karte auf dem Tisch.
"Dat weren de hungerigen Boren, vör de de Dörplüüd bang weren.","Es waren die hungrigen Bären, vor denen sich die Dorfbewohner fürchteten."
Ik heff wenig Geld bi mi.,Ich habe wenig Geld bei mir.
He hett lang Hoor.,Er hat langes Haar.
Ik heff di allens vertellt.,Ich habe dir alles erzählt.
"Freit mi, to hören, dat de Operation klappt hett.","Ich war erleichtert, zu hören, dass die Operation erfolgreich war."
Georg arbeidt op en groten Buurhoff.,Georg arbeitet auf einem großen Bauernhof.
Ik mag Eier nich geern.,Ich mag keine Eier.
"Ik baad jümmer, ehrdat ik slapen gah.","Ich bade immer, bevor ich schlafen gehe."
Uns Schoolmeester wahnt an ’t Enn von ’e Straat.,Unser Lehrer lebt am Ende der Straße.
Is he nich Dokter?,Ist er nicht Arzt?
He is na Frankriek gahn.,Er ist nach Frankreich gegangen.
Woveel Wien hebbt ji drunken?,Wieviel Wein habt ihr getrunken?
Wi sünd vör een Stünn in ’t Hotel ankamen.,Wir sind vor einer Stunde im Hotel angekommen.
He söcht opstunns na en grötter Huus.,Er sucht im Moment nach einem größeren Haus.
"Ik hööp, dat gefallt di.","Ich hoffe, es wird dir gefallen."
Dröff ik dien Schrievdisch bruken?,Darf ich Ihren Schreibtisch benutzen?
Woveel Spraken kannst du flott snacken?,Wie viele Sprachen kannst du gut sprechen?
He terreet dat Book.,Er zerriss das Buch.
Wüllt wi Swiezerdüütsch mitenanner snacken?,Wollen wir Schweizerdeutsch miteinander reden?
Jim böhr sien Hand hoog.,Jim hob seine Hand.
Du büst noch jung.,Du bist noch jung.
Steek nich den Kopp in ’n Sand!,Stecke nicht den Kopf in den Sand!
He keem jüst rechttiedig in ’e School an.,Er kam gerade rechtzeitig in der Schule an.
Ik heff mien PIN vergeten.,Ich habe meine PIN vergessen!
Ik heff mien PIN vergeten.,Ich habe meine PIN vergessen.
Uns School steiht in ’t Dörp.,Unsere Schule steht im Dorf.
"Ik heff allens, wat ik wull.","Ich habe alles, was ich wollte."
Ik bün mit en sehr Strott opwaakt.,Ich bin mit einer Rachenentzündung aufgewacht.
Ik heff jem to de Geboort von jemehr Dochter graleert.,Ich habe ihnen zur Geburt ihrer Tochter gratuliert.
Vör dat Huus steiht en Boom.,Vor dem Haus steht ein Baum.
Maak dien Ogen apen.,Mache deine Augen auf.
Ik bün al trech.,Ich bin bereits fertig.
Klappt dat?,Klappt das?
Klappt dat?,Funktioniert das?
Dat klappt.,Es klappt.
Wat hett dat mit mien Tokumst to doon?,Was hat das mit meiner Zukunft zu tun?
Woveel Wien hebbt Se drunken?,Wieviel Wein haben Sie getrunken?
Rohen Fisch warrt gau bedorven.,Roher Fisch wird sehr schnell schlecht.
John deed Beth to sien Wiev maken.,John machte Beth zu seinem Weibe.
He müch de School nich.,Er mochte die Schule nicht.
Het he ok japans lehrt?,Hat er auch Japanisch gelernt?
Mehr as de Hälft von de Inwahners sünd gegen den Plaan.,Mehr als die Hälfte der Einwohner sind gegen den Plan.
Höör op to snacken!,Hör auf zu reden!
"He is keen, op den een sik verlaten kann.","Er ist niemand, auf den man sich verlassen kann."
Du dröffst dat nich anlangen.,Du darfst es nicht berühren.
De Wulken hüngen sied.,Die Wolken hingen tief.
Ik slaap geern.,Ich schlafe gerne.
De Tohörers füngen al an to jappen.,Die Zuhörer fingen bereits zu gähnen an.
Se deed mi schoo tosmüüstern.,Sie lächelte mir schüchtern zu.
Lee harr sien best Tüüg an.,Lee hatte seine besten Sachen an.
De Wulken sünd opreten un de Sünn is dörkamen.,"Als die Wolken aufrissen, kam die Sonne zum Vorschein."
Na en korten Freden deed wedder Krieg utbreken.,Nach einem kurzen Frieden brach der Krieg wieder aus.
"De Lehrer vertellt, dat de Eer en Kugel is.","Der Lehrer erzählte, dass die Erde eine Kugel sei."
"Deed di dat wat utmaken, mit mi to kamen?","Würde es dir etwas ausmachen, mit mir zu kommen?"
Dien o’s seht ut as a’s.,Deine o sehen aus wie a.
He is op alltied ut Afrika weggahn.,Er hat Afrika für immer verlassen.
"Wat wi fangt, dat eet wi ok.","Was wir fangen, das essen wir auch."
"Dit Book is dick, man nich besünners düür.","Dieses Buch ist dick, aber nicht sehr teuer."
Ik kenn em nu een Johr.,Ich kenne ihn seit einem Jahr.
Ik kunn em jüst noch ruthalen.,Ich konnte ihn gerade noch herausholen.
Du büst vör dree Daag ankamen.,Du bist vor drei Tagen angekommen.
Ik will nix mit di to kriegen hebben.,Ich will nichts mit dir zu tun haben.
Se eet in ’t Hotel.,Sie essen im Hotel.
He warrt en goden Dokter.,Er wurde ein guter Arzt.
Ik heff op gorkeen Fall wat gegen de Bueree.,Auf keinen Fall habe ich etwas gegen die Landwirtschaft.
Dat is man en Kind.,Es ist nur ein Kind.
Bedankt!,Danke!
Ik heff nich so veel Geld as he.,Ich habe nicht so viel Geld wie er.
"Se weet nich, wat se seggen schall.","Sie weiß nicht, was sie sagen soll."
Dor liggt en Appel op ’n Disch.,Da liegt ein Apfel auf dem Tisch.
Godd is de Anfang von allens.,Gott ist der Anfang aller Dinge.
Köönt ji nich noch en Ogenblick op uns töven? Denn gaht wi mit jo.,Könnt ihr nicht noch ein Augenblickchen auf uns warten? Dann gehen wir mit euch.
He is op een Oog blind.,Er ist auf einem Auge blind.
Vergeet de Fohrkoort nich.,Vergiss die Fahrkarte nicht!
För een Maal hen un trügg bruukst du een Stünn.,Für einmal hin und zurück brauchst du eine Stunde.
’Keen hett dit Finster tweibraken?,Wer hat das Fenster zerbrochen?
"Nehm en Snappdook, dien Nees löppt.","Nimm ein Taschentuch, deine Nase läuft."
"Môk de Dœr tau, wenn du up’n Pott sittst!","Mach die Tür zu, wenn du auf dem Pott sitzt!"
Büst du en Kaffeedrinker?,Bist du ein Kaffeetrinker?
Is dat Glas nu halv vull oder halv leddig?,Ist das Glas nun halb voll oder halb leer?
Is dat Glas nu halv vull oder halv leddig?,Ist das Glas jetzt halb voll oder halb leer?
De jungen Lüüd hebbt Volksleder sungen.,Die Jugendlichen haben Volkslieder gesungen.
Se hett us vergäten.,Sie hat uns vergessen.
"Ik weet, wo ik Jem helpen kann.","Ich weiß, wie ich Ihnen helfen kann."
He hett mehr Geld as he utgeven kann.,"Er hat mehr Geld, als er ausgeben kann."
Se hett em op de Back küsst.,Sie hat ihn auf die Wange geküsst.
He söcht en betere Arbeid.,Er sucht eine bessere Arbeit.
Wi mookt Freuhstück.,Wir machen Frühstück.
Gnaddern ännert ook nix.,Jammern ändert auch nichts.
All laavt se sien Schilleraatsen.,Alle loben seine Gemälde.
De Müür is twee Meter dick.,Die Mauer ist zwei Meter dick.
’Keen höört dit Fohrrad to?,Wem gehört dieses Fahrrad?
Dat is dien Gräffnis.,Das ist dein Begräbnis.
Ik heff nix mit em to doon.,Ich habe nichts mit ihm zu tun.
Ik warr ehr nich mehr sehn.,Ich werde sie nicht mehr sehen.
Wo warrt disse Vagel nöömt?,Wie heißt dieser Vogel?
Klöörlose gröne Ideen slaapt füünsch.,Farblose grüne Ideen schlafen wütend.
He deed de Trepp hoogrönnen.,Er ist die Treppe hochgerannt.
Wat söchst du?,Was suchst du?
Söchst du wat?,Suchst du etwas?
Wat söchst du?,Wonach suchen Sie?
Ik mag ehr temlich geern.,Ich mag sie sehr gerne.
Se is keen gode Person.,Sie ist keine gute Person.
He is teihn Kilogramm sworer as ik.,Er ist zehn Kilogramm schwerer als ich.
He kann nich na School gahn hebben.,Er kann nicht zur Schule gegangen sein.
De Laden verköfft Daagbläder un Tiedschriften.,Der Laden verkauft Zeitungen und Zeitschriften.
Ik harr geern noch en Tass Kaffe.,Ich hätte gern noch eine Tasse Kaffee.
"Wat is dat, wat du in diene Hand hest?","Was ist das, was du in deiner Hand hast?"
Dat heff ik vergeten.,Das habe ich vergessen.
Hest du den Föön mitnahmen?,Hast du den Fön mitgenommen?
Ik will di üm en Gefallen bidden.,Ich möchte dich um einen Gefallen bitten.
Wi hebbt en Stimm in de Slaapkamer hört.,Wir hörten eine Stimme im Schlafzimmer.
He hett mehr Geld as Smack.,Er hat mehr Geld als Geschmack.
Ik gah na ’t Swemmbad.,Ich gehe ins Schwimmbad.
Ik dööp mit Water.,Ich taufe mit Wasser.
Rockefeller weer Guvernör von New york.,Rockefeller war Gouverneur von New York.
Wo groot is he?,Wie groß ist er?
Wo groot he is!,Wie groß er ist!
Dat Vörjohr is rüm un de Sommer fangt nu an.,Der Frühling ist vergangen und der Sommer beginnt.
In ’t Allgemeen leevt Froonslüüd länger as Mannslüüd.,Im Allgemeinen leben Frauen länger als Männer.
Tööv bet du an ’e Reeg büst.,"Warte, bis du an der Reihe bist."
He is jümmer praat.,Er ist immer vorbereitet.
Ik will narms hen gahn.,Ich will nirgendwohin gehen.
"He hett dree Söhn, de Musikers worrn sünd.","Er hat drei Söhne, die Musiker geworden sind."
Steek dien Nees nich in anner Lüüd ehr Saken.,Steck deine Nase nicht in die Angelegenheiten anderer Leute.
Steek dien Nees nich in anner Lüüd ehr Saken.,Stecke deine Nase nicht in fremde Angelegenheiten.
Steek dien Nees nich in anner Lüüd ehr Saken.,Stecke deine Nase nicht in anderer Leute Angelegenheiten.
He weer ganz ut ’e Puust.,Er war völlig außer Atem.
Ik heff dat för twölv Dollar köfft.,Ich habe das für zwölf Dollar gekauft.
"Schaamst du di nich, so to snacken?","Schämst du dich nicht, so zu reden?"
Kannst du mit dat seggen?,Kannst du mir das sagen?
He deed ehr drücken.,Er umarmte sie.
Se schell em ut.,Sie schimpfte ihn aus.
"Ik heff en List mit Saken opstellt, de ik geern köpen deed.","Ich habe eine Liste von Dingen erstellt, die ich gern kaufen würde."
"Ik heff en List mit Saken opstellt, de ik geern köpen deed.","Ich habe eine Liste von Dingen aufgestellt, die ich gerne kaufen möchte."
Disse Kist is ut Holt.,Diese Kiste ist aus Holz.
He deed vör Küll bevern.,Er zitterte vor Kälte.
He deed vör Küll bevern.,Er zittert vor Kälte.
Wat is dien leevste TV-Serie?,Was ist deine liebste TV-Serie?
De Arbeid is halv daan.,Die Arbeit ist halb getan.
Mien Unkel wahnt in London.,Mein Onkel wohnt in London.
Sien Grootmoder sütt ganz benig ut.,Seine Großmutter sieht rüstig aus.
Wat hest du nu wedder utklookt?,Was hast du dir nur wieder ausgedacht?
Na ’t Speel is vör ’t Speel.,Nach dem Spiel ist vor dem Spiel.
Ik bün mit mien Inkamen nu tofreden.,Ich bin mit meinem jetzigen Einkommen zufrieden.
Schalke speelt vonavend gegen Inter Mailand.,Schalke spielt heute Abend gegen Inter Mailand.
Ik bün en netten Keerl.,Ich bin ein netter Kerl.
"Wenn he dat weten deed, harr he uns dat seggt.","Wenn er es wüsste, hätte er es uns gesagt."
Muiriel is twintig.,Muiriel ist zwanzig.
"De See is för de Fisch, wat de Heven för de Vagels is.","Das Meer ist für die Fische, was der Himmel für die Vögel ist."
Se veracht em.,Sie verachtet ihn.
Dat Radio geiht nich.,Das Radio funktioniert nicht.
Dat Radio geiht nich.,Das Radio geht nicht.
De Kööksch hett Nelkenköpp an ’t Stippels daan.,Die Köchin hat Gewürznelken an die Soße getan.
"Belgiers sünd Lüüd, de moolt en Piep un schrieft denn ünner düt Beld: „Düt is keen Piep.“","Belgier sind Menschen, die eine Pfeife malen und dann unter dieses Bild schreiben: „Dies ist keine Pfeife.“"
Kennst du dien Bloodgrupp?,Kennst du deine Blutgruppe?
Se hett en groot Kamer ganz för sik alleen.,Sie hat ein großes Zimmer ganz für sich allein.
Kannst du dit Radels lösen?,Kannst du dieses Rätsel lösen?
"Wi sünd dat wennt, Schoh to dragen.","Wir sind gewohnt, Schuhe zu tragen."
Ik heff jüst Sushi eten un Beer drunken.,Ich habe gerade Sushi gegessen und Bier getrunken.
"Ik heff versöcht, mit em to kören.","Ich habe versucht, mit ihm zu reden."
Ik bruuk en Dokter!,Ich brauche einen Arzt!
"Jo, en lütt beten.","Ja, ein kleines bisschen."
"Dat Best in ’e Midd, seed de Düvel, dor lööp he twischen twee Papen.","Das Beste in die Mitte, sagte der Teufel, und läuft zwischen zwei Pfaffen."
Woneem is de Mississippi?,Wo ist der Mississippi?
Flensborg liggt an de Grenz to Däänmark.,Flensburg liegt an der Grenze zu Dänemark.
"Ik heff em raden, sik uttorohn.","Ich habe ihm geraten, sich auszuruhen."
Wi sünd mit ’n Fleger na Mexiko reist.,Wir sind mit dem Flugzeug nach Mexiko gereist.
Ik heff in de vergangen dree Daag nix eten.,Ich habe in den letzten drei Tagen nichts gegessen.
Un wo is dat good för?,Und wofür ist das gut?
He weer von Kopp bet Foot dörnaat.,Er war von Kopf bis Fuß durchnässt.
Ik bün in Russland boren.,Ich wurde in Russland geboren.
Ik bün in Russland boren.,Ich bin in Russland geboren.
Se hett vergangen Nacht op mien Kinner oppasst.,Sie hat vergangene Nacht auf meine Kinder aufgepasst.
Dat schall ik nienich henkriegen.,Das werde ich niemals schaffen.
In Venedig sünd jümmer veel Turisten.,In Venedig sind immer viele Touristen.
Dit gresige Geel lett mi an de Klöör von dien Bedddook denken.,Dieses hässliche Gelb erinnert mich an die Farbe deines Betttuchs.
Ehr Wagen gefallt mi.,Ihr Wagen gefällt mir.
Cecil deed en Kars ansteken.,Cecil zündete eine Kerze an.
"Ik weet noch, dat ik den Film sehn heff.","Ich weiß noch, dass ich den Film gesehen habe."
Du hest di gau verhaalt.,Du hast dich gut erholt.
Sien Finger blöddt.,Sein Finger blutet.
Wi hebbt den Plaan mit em besnackt.,Wir besprachen den Plan mit ihm.
Ik söök jüst en elektrische Harp.,Ich suche gerade eine elektrische Harfe.
Wullt du wat eten?,Möchtest du was essen?
Binnen un buten de Müürn von Troja warrt sünnigt.,Innerhalb und ausserhalb der Mauern von Troja wird gesündigt.
Wat schenkt wi ehr to Wiehnachten?,Was schenken wir ihr zu Weihnachten?
Buurn seit de Saad in ’t Vörjohr ut.,Bauern säen das Saatgut im Frühjahr aus.
"Ik verstah nich jümmer, wat los is.","Ich verstehe nicht immer, was los ist."
Hebbt ji Drinkgeld geven?,Habt ihr Trinkgeld gegeben?
Se will em küssen.,Sie will ihn küssen.
Nüms praat mit mi.,Keiner spricht mit mir.
"Mien Baas seggt, dat he keen Geld mehr hett.","Mein Chef sagt, dass er kein Geld mehr habe."
Dat sünd miene CDs.,Das sind meine CDs.
He hett allens opeten.,Er hat alles aufgegessen.
Wannehr bruukst du dat?,Wann brauchst du das?
Sühst du dat witte Huus?,Siehst du das weiße Haus?
Ehr neet Kleed gefallt ehr.,Ihr gefällt ihr neues Kleid.
Ehr neet Kleed gefallt ehr.,Ihr neues Kleid gefällt ihr.
Ik bün vergangen Johr na London föhrt.,Ich bin letztes Jahr nach London gefahren.
Thomas kickt en Film.,Thomas schaut einen Film an.
"De Dokter hett em seggt, he schull sik verhalen.","Der Arzt gab ihm Anweisung, sich zu erholen."
Se hett en Katt un twee Hunnen.,Sie hat eine Katze und zwei Hunde.
"He hett tostahn, dat dat stimmt.","Er hat zugegeben, dass es stimmte."
"’Keen arm is, hett Kinner noog.","Wer arm ist, hat genug Kinder."
Swiggst du?,Schweigst du?
De Wuddeln sünd kaakt.,Die Karotten sind gekocht.
De Firma hett dat Projekt opgeven.,Die Firma hat das Projekt aufgegeben.
"Sütt so ut, as wenn ji ut Indien sünd.","Es sieht so aus, als wärt ihr aus Indien."
Dat weer nich mien Afsicht.,Das war nicht meine Absicht.
Du hest dat Book villicht al leest.,Du hast das Buch vielleicht schon gelesen.
De Jung weer meist verdrunken.,Der Junge war fast ertrunken.
Wat wullt du?,Was willst du?
He schall bannig riek sien.,Er soll sehr reich sein.
"Nüms kann seggen, wat de Tokumst bringt.","Niemand kann erzählen, was die Zukunft bringt."
Kaam doch ees vörbi!,Komm doch mal vorbei!
Ik heff worraftig en Spökels sehn.,Ich habe tatsächlich ein Gespenst gesehen.
He hett nich op mien Fraag antert.,Er hat nicht auf meine Frage geantwortet.
Dröff ik dissen Appel eten?,Darf ich diesen Apfel essen?
"Wat magst du lever, Wittwien oder Roodwien?","Was magst du lieber, Weißwein oder Rotwein?"
Ik heff Koppwehdaag. Villicht schull ik en Aspirin nehmen.,Ich habe Kopfweh. Vielleicht sollte ich Aspirin nehmen.
"Wi dachen, dat de Eer sik üm de Sünn beweegt.","Wir dachten, dass sich die Erde um die Sonne bewegt."
"Wi dachen, dat de Eer sik üm de Sünn beweegt.","Wir dachten, dass die Erde um die Sonne kreist."
Dat klappt allerbest!,Das klappt hervorragend!
He hett allerhand Mehl un Ööl köfft.,Er hat reichlich Mehl und Öl gekauft.
Ik heff keen Hund.,Ich habe keinen Hund.
Is hier in de Neegd en Bank?,Ist hier in der Nähe eine Bank?
He slööp bi apen Finster.,Er schlief bei offenem Fenster.
"Dat lett, as wenn em Geld fehlt.","Es scheint, als fehle ihm Geld."
En Haverbuck un veel Mieghamels hebbt op en Feld leevt.,Ein Grashüpfer und viele Ameisen lebten auf einem Feld.
Amerikaners eet veel Fleesch.,Amerikaner essen viel Fleisch.
Nix geiht in ’n Sommer över en groot Glas Beer.,Nichts geht im Sommer über ein großes Glas Bier.
Een von de Knööp von mien Mantel hett sik aflööst.,Einer der Knöpfe meines Mantels löste sich.
Ik will en klore Antwoord hebben.,Ich möchte eine klare Antwort haben.
Hest du en beten Melk?,Hast du etwas Milch?
Dat is fiev vör negen.,Es ist fünf vor neun.
"Weet een, wo Tom un Ria sünd?","Weiß jemand, wo Tom und Maria sind?"
Se hett em för all sien Geld nahmen.,Sie hat ihn wegen seines vielen Geldes genommen.
Se hett em för all sien Geld nahmen.,Sie wählte ihn wegen seines vielen Geldes.
Sundheit is mehr weert as Gold.,Gesundheit ist mehr wert als Gold.
De Vagel op ’t Dack is en Kreih.,Der Vogel auf dem Dach ist eine Krähe.
Is düt een Stroom?,Ist dies ein Fluß?
Ik nehm en Glas Champagner.,Ich nehme ein Glas Champagner.
Sünd de Kabels mitlevert?,Sind die Kabel mitgeliefert?
"Ik wull di ja schrieven, aver ik harr toveel to doon.","Ich wollte dir ja schreiben, aber ich hatte zuviel zu tun."
Disse Disch is ut gode Eek maakt.,Dieser Tisch ist aus guter Eiche hergestellt.
De Wagen steiht praat.,Der Wagen steht bereit.
He schall woll vör Klock fiev trügg wesen.,Er wird vor 5 Uhr zurück sein.
"Un du, wo geiht di dat?","Und du, wie geht es dir?"
Wat bedüüdt dit Schild?,Was bedeutet dieses Schild?
"Du hest di so ännert, dat ik di meist nich wedderkenn.","Du hast dich so sehr verändert, dass ich dich fast nicht wiedererkenne."
Dat is dien Hund.,Das ist dein Hund.
He hett noog Geld.,Er hat genug Geld.
He is vergangen Nacht Klock ölven to Bedd gahn.,Er ist letzte Nacht um 11 Uhr ins Bett gegangen.
Dor bün ik jüst würklich to duun för.,Dafür bin ich gerade wirklich zu betrunken.
Hett he veel Freetied?,Hat er viel Freizeit?
Ik leev hier.,Ich wohne hier.
Ik leev hier.,Ich lebe hier.
"Tom hett mi rümsnackt, mit em in’e Karken to gahn.","Tom überredete mich, mit ihm in die Kirche zu gehen."
De rood-witte Flagg fladder in ’n Wind.,Die rot-weiße Flagge flatterte im Wind.
Dat is mien Katt.,Das ist meine Katze.
Ik heff em nich froogt.,Ich habe ihn nicht gefragt.
De Priesen gaht na baven.,Die Preise gehen nach oben.
"Uns Kinner hebbt Hunnen geern, man ik mag Katten beter lieden.","Unsere Kinder mögen Hunde, aber ich mag Katzen lieber."
Dit is dat Wöörbook vun mien Süster.,Dies ist das Wörterbuch meiner Schwester.
Ik will di en Geschicht vertellen.,Ich werde dir eine Geschichte erzählen.
Ik will di en Geschicht vertellen.,Ich will dir eine Geschichte erzählen.
Bet nu kunn ik eerst de eersten dree Kapittels trechkriegen.,Bis jetzt konnte ich die ersten drei Kapitel abschließen.
Ik lääs veel Beuker.,Ich lese viele Bücher.
En Raav is so swart as Steenkohl.,Ein Rabe ist so schwarz wie Steinkohle.
Drögen Sand nimmt Water op.,Trockener Sand absorbiert Wasser.
"De hebbt utsehn un smeckt as Shrimps, man ik kann di seggen, dat weren keen echte Shrimps.","Sie haben ausgesehen und geschmeckt wie Shrimps, aber ich kann dir sagen, das waren keine echte Shrimps."
Wi hebbt de Narichten sehn.,Wir haben die Nachrichten gesehen.
Tom weer bannig bang.,Thomas war sehr ängstlich.
"Se deed em övertügen, dat to doon.","Sie hat ihn überzeugt, das zu tun."
Worüm studeerst du nich Franzöösch?,Warum studierst du nicht Französisch?
Hest du vonavend al wat vör?,Hast du für heute Abend schon etwas vor?
"As Udo sien Zigarett smöökt harr, güng he weg.","Nachdem Udo seine Zigarette geraucht hatte, ging er fort."
Dat Kleed is ut Sied.,Das Kleid ist aus Seide.
He is in Australien grootworrn.,Er ist in Australien groß geworden.
Se möök em Spinaat eten.,"Sie zwang ihn, Spinat zu essen."
Ik miss di unbannig.,Ich vermisse dich sehr.
Hest du veel Frünn?,Hast du viele Freunde?
Sünd ji Brüer?,Seid ihr Brüder?
Wi hebbt twee Döchter.,Wir haben zwei Töchter.
Mit een Maal güng de Schüün in Flammen op.,Mit einem Mal ging die Scheune in Flammen auf.
Dat is roor.,Das ist seltsam.
Se arbeidt bi de Bank.,Sie arbeitet in einer Bank.
Hest du Kinner?,Hast du Kinder?
Ik heff mi mit dat Mest in ’n Finger sneden.,Ich habe mir mit dem Messer in den Finger geschnitten.
Se harrn Utsöhnsex.,Sie hatten Versöhnungssex.
Woveel köst dat Beer?,Wie viel kostet das Bier?
Per Inschrieven?,Per Einschreiben?
"De Tähndokter is dor gegen, dat du söten Kraam ittst.","Der Zahnarzt ist dagegen, dass du süße Sachen isst."
"Ria hett nich allens, wat se will.","Maria hat nicht alles, was sie will."
Bob schrifft mi een Maal in ’n Maand.,Bob schreibt mir einmal im Monat.
Kennst du em?,Kennst du ihn?
Kennst du em?,Erkennst du ihn?
Katten möögt keen Water.,Katzen mögen kein Wasser.
Ik bün ut Versehn in ’n verkehrten Bus stegen.,Ich bin versehentlich in den falschen Bus gestiegen.
Ik weet nix.,Ich weiß nichts.
De Saalhund liggt op ’n Platen un fläätst sik in ’e Sünn.,Der Seehund liegt auf der Sandbank und fläzt sich in der Sonne.
Dor is keen Solt mehr.,Es ist kein Salz mehr da.
Wo sünd use Kuffers?,Wo sind unsere Koffer?
Kakerlaken versteekt sik bi Dag.,Kakerlaken verstecken sich während des Tages.
Dat harrst ehrder seggen schullt.,Das hättest du eher sagen sollen.
"Dat is wohr, dat he den eersten Pries wunnen hett.","Es ist wahr, dass er den ersten Preis gewonnen hat."
"Ik deed mi frein, wenn du to mi Party kummst.","Ich würde mich freuen, wenn du zu meiner Party kämest."
Nehmt se Visa-Koorten?,Akzeptieren Sie Visa-Karten?
Wies di!,Zeig dich!
Dit Speeltüüg is von Holt.,Dieses Spielzeug ist aus Holz.
De Karkklocken lüüdt.,Die Kirchenglocken läuten.
De Karkklocken lüüdt.,Die Kirchenglocken bimmeln.
"Wichtig is nich, woveel Böker du leest, man wat för Böker du leest.","Wichtig ist nicht, wie viele Bücher du liest, sondern was für Bücher du liest."
Worüm hest du versöcht uttoneihn?,Warum hast du versucht wegzulaufen?
Se deed sien Wunn versorgen.,Sie versorgte seine Wunde.
"Dit Kameel is so tamm, dat elkeen dat rieden kann.","Dieses Kamel ist so zahm, dass es jeder reiten kann."
Mien Hoor warrt jümmer länger.,Mein Haar wird immer länger.
Se hett dat Ticket ümsüs kregen.,Sie bekam das Ticket umsonst.
Se hett dat Ticket ümsüs kregen.,Sie hat die Fahrkarte umsonst bekommen.
Ik sitt allen tohuus.,Ich sitze allein zuhause.
Villicht heff ik mi vergisst.,Vielleicht habe ich mich geirrt.
Moin allemann!,Hallo zusammen!
Peer un Esels sünd verscheden.,Pferde unterscheiden sich von Eseln.
Wat deist du?,Was machst du?
Israel schull von de Koorten wischt warrn.,Israel soll von der Karte verschwinden.
De Tohörers füngen al an to hojahnen.,Die Zuhörer fingen schon an zu gähnen.
Söchst du een?,Suchen Sie jemanden?
Söchst du een?,Suchst du jemanden?
Ik heff dor mit em över streden.,Ich habe mit ihm darüber gestritten.
"Ik weet, wat du meenst.","Ich weiß, was du meinst."
Ik weet wat du meenst.,"Ich weiß, was du meinst."
